place,mag,time
"21km W of Su'ao, Taiwan",5,1519051621590
"34km SE of Taitung City, Taiwan",4.2,1518858395090
"33km NE of Hualian, Taiwan",4.2,1518248929450
"22km ENE of Hualian, Taiwan",4.6,1518201789380
"9km SSE of Hualian, Taiwan",4.7,1518142442030
"8km SSE of Hualian, Taiwan",4.7,1518059163350
"4km SSE of Hualian, Taiwan",4.3,1518051567900
"9km SSE of Hualian, Taiwan",5.2,1518051256710
"17km NE of Hualian, Taiwan",5.7,1518016891790
"15km ESE of Hualian, Taiwan",4.6,1518013160620
"21km ENE of Hualian, Taiwan",5,1518008801140
"11km ESE of Hualian, Taiwan",4.8,1518001986560
"24km NE of Hualian, Taiwan",4.1,1517998786470
"15km ENE of Hualian, Taiwan",4.8,1517974579330
"14km ENE of Hualian, Taiwan",4.8,1517969882970
"7km E of Hualian, Taiwan",4.7,1517960631840
"13km ENE of Hualian, Taiwan",4.7,1517958703100
"16km ENE of Hualian, Taiwan",4.7,1517950582430
"17km E of Hualian, Taiwan",4.9,1517945795580
"15km E of Hualian, Taiwan",5.4,1517944529040
"17km ENE of Hualian, Taiwan",5.2,1517940458370
"22km NE of Hualian, Taiwan",5.2,1517940013150
"7km ESE of Hualian, Taiwan",4.5,1517934404810
"8km SE of Hualian, Taiwan",5.1,1517933877920
"14km N of Hualian, Taiwan",4.4,1517932760910
"18km NNE of Hualian, Taiwan",6.4,1517932243300
"17km ENE of Hualian, Taiwan",4.6,1517906209330
"23km NNE of Hualian, Taiwan",4.8,1517893755240
"19km NE of Hualian, Taiwan",3.9,1517877310280
"20km NE of Hualian, Taiwan",4.8,1517846321310
"23km NE of Hualian, Taiwan",4.7,1517821604370
"32km NE of Hualian, Taiwan",4.5,1517763262320
"29km NE of Hualian, Taiwan",4.6,1517758426880
"19km NE of Hualian, Taiwan",4.8,1517753814840
"23km NE of Hualian, Taiwan",5.5,1517753592140
"31km NE of Hualian, Taiwan",4.7,1517753521690
"23km NE of Hualian, Taiwan",4.9,1517753451640
"34km NE of Hualian, Taiwan",4.7,1517753124510
"22km NNE of Hualian, Taiwan",6.1,1517752601950
"20km NE of Hualian, Taiwan",4.3,1517751188990
"25km NNE of Hualian, Taiwan",5,1517749971920
"22km NNE of Hualian, Taiwan",4.8,1517686256700
"34km NNW of Taitung City, Taiwan",4.5,1516984290450
"8km S of Keelung, Taiwan",4.5,1516168751420
"21km NE of Taitung, Taiwan",4.2,1514834523580
"27km NNW of Taitung City, Taiwan",4.2,1514754523760
"20km S of Lugu, Taiwan",4.5,1511470532530
"23km S of Lugu, Taiwan",5.1,1511360410280
"11km SSW of Lugu, Taiwan",4.9,1510402973990
"12km S of Lugu, Taiwan",4.6,1510398880380
"51km S of Hualian, Taiwan",4.9,1509752087750
"25km N of Taitung City, Taiwan",4.7,1509677341260
"22km N of Taitung City, Taiwan",4.5,1509677297160
"91km E of Hengchun, Taiwan",4.3,1509564820140
"73km E of Hengchun, Taiwan",4.5,1509561693400
"47km SE of Taitung City, Taiwan",4.6,1507505392730
"74km SSE of Hualian, Taiwan",5.4,1505917796600
"46km S of Hualian, Taiwan",4.2,1505687993760
"90km SE of Taitung City, Taiwan",4.2,1504637747410
"31km W of Hengchun, Taiwan",4.4,1503432066070
"55km E of Hengchun, Taiwan",4.5,1502582915300
"60km NE of Taitung City, Taiwan",4.5,1502416733520
"55km S of Hualian, Taiwan",4.4,1502294735020
"66km SSW of Kaohsiung, Taiwan",4.4,1500986516130
"30km WSW of Hengchun, Taiwan",4.4,1500134061700
"8km NE of Su'ao, Taiwan",4.2,1498029939400
"1km NW of Fengshan, Taiwan",3.9,1497562158420
"72km SE of Taitung City, Taiwan",4.1,1496803506460
