,date,song,artist
0,1958-08-09,Poor Little Fool,Ricky Nelson
100,1958-08-16,Poor Little Fool,Ricky Nelson
200,1958-08-23,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
300,1958-08-30,Little Star,The Elegants
400,1958-09-06,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
500,1958-09-13,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
600,1958-09-20,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
700,1958-09-27,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
800,1958-10-04,It's All In The Game,Tommy Edwards
900,1958-10-11,It's All In The Game,Tommy Edwards
1000,1958-10-18,It's All In The Game,Tommy Edwards
1100,1958-10-25,It's All In The Game,Tommy Edwards
1200,1958-11-01,It's All In The Game,Tommy Edwards
1300,1958-11-08,It's All In The Game,Tommy Edwards
1400,1958-11-15,It's Only Make Believe,Conway Twitty
1500,1958-11-22,Tom Dooley,The Kingston Trio
1600,1958-11-29,It's Only Make Believe,Conway Twitty
1700,1958-12-06,"To Know Him, Is To Love Him",The Teddy Bears
1800,1958-12-13,"To Know Him, Is To Love Him",The Teddy Bears
1900,1958-12-20,"To Know Him, Is To Love Him",The Teddy Bears
2000,1958-12-27,The Chipmunk Song,The Chipmunks With David Seville
2100,1959-01-03,The Chipmunk Song,The Chipmunks With David Seville
2200,1959-01-10,The Chipmunk Song,The Chipmunks With David Seville
2300,1959-01-17,The Chipmunk Song,The Chipmunks With David Seville
2400,1959-01-24,Smoke Gets In Your Eyes,The Platters
2500,1959-01-31,Smoke Gets In Your Eyes,The Platters
2600,1959-02-07,Smoke Gets In Your Eyes,The Platters
2700,1959-02-14,Stagger Lee,Lloyd Price
2800,1959-02-21,Stagger Lee,Lloyd Price
2900,1959-02-28,Stagger Lee,Lloyd Price
3000,1959-03-07,Stagger Lee,Lloyd Price
3100,1959-03-14,Venus,Frankie Avalon
3200,1959-03-21,Venus,Frankie Avalon
3300,1959-03-28,Venus,Frankie Avalon
3400,1959-04-04,Venus,Frankie Avalon
3500,1959-04-11,Venus,Frankie Avalon
3600,1959-04-18,Come Softly To Me,The Fleetwoods
3700,1959-04-25,Come Softly To Me,The Fleetwoods
3800,1959-05-02,Come Softly To Me,The Fleetwoods
3900,1959-05-09,Come Softly To Me,The Fleetwoods
4000,1959-05-16,The Happy Organ,Dave 'Baby' Cortez
4100,1959-05-23,Kansas City,Wilbert Harrison
4200,1959-05-30,Kansas City,Wilbert Harrison
4300,1959-06-06,The Battle Of New Orleans,Johnny Horton
4400,1959-06-13,The Battle Of New Orleans,Johnny Horton
4500,1959-06-20,The Battle Of New Orleans,Johnny Horton
4600,1959-06-27,The Battle Of New Orleans,Johnny Horton
4700,1959-07-04,The Battle Of New Orleans,Johnny Horton
4800,1959-07-11,The Battle Of New Orleans,Johnny Horton
4900,1959-07-18,Lonely Boy,Paul Anka
5000,1959-07-25,Lonely Boy,Paul Anka
5100,1959-08-01,Lonely Boy,Paul Anka
5200,1959-08-08,Lonely Boy,Paul Anka
5300,1959-08-15,A Big Hunk O' Love,Elvis Presley With The Jordanaires
5400,1959-08-22,A Big Hunk O' Love,Elvis Presley With The Jordanaires
5500,1959-08-29,The Three Bells,The Browns
5600,1959-09-05,The Three Bells,The Browns
5700,1959-09-12,The Three Bells,The Browns
5800,1959-09-19,The Three Bells,The Browns
5900,1959-09-26,Sleep Walk,Santo & Johnny
6000,1959-10-03,Sleep Walk,Santo & Johnny
6100,1959-10-10,Mack The Knife,Bobby Darin
6200,1959-10-17,Mack The Knife,Bobby Darin
6300,1959-10-24,Mack The Knife,Bobby Darin
6400,1959-10-31,Mack The Knife,Bobby Darin
6500,1959-11-07,Mack The Knife,Bobby Darin
6600,1959-11-14,Mack The Knife,Bobby Darin
6700,1959-11-21,Mr. Blue,The Fleetwoods
6800,1959-11-28,Mack The Knife,Bobby Darin
6900,1959-12-05,Mack The Knife,Bobby Darin
7000,1959-12-12,Mack The Knife,Bobby Darin
7100,1959-12-19,Heartaches By The Number,Guy Mitchell
7200,1959-12-26,Heartaches By The Number,Guy Mitchell
7300,1960-01-02,Why,Frankie Avalon
7400,1960-01-09,El Paso,Marty Robbins
7500,1960-01-16,El Paso,Marty Robbins
7600,1960-01-23,Running Bear,Johnny Preston
7700,1960-01-30,Running Bear,Johnny Preston
7800,1960-02-06,Running Bear,Johnny Preston
7900,1960-02-13,Teen Angel,Mark Dinning
8000,1960-02-20,Teen Angel,Mark Dinning
8100,1960-02-27,The Theme From A Summer Place,Percy Faith And His Orchestra
8200,1960-03-05,The Theme From A Summer Place,Percy Faith And His Orchestra
8300,1960-03-12,The Theme From A Summer Place,Percy Faith And His Orchestra
8400,1960-03-19,The Theme From A Summer Place,Percy Faith And His Orchestra
8500,1960-03-26,The Theme From A Summer Place,Percy Faith And His Orchestra
8600,1960-04-02,The Theme From A Summer Place,Percy Faith And His Orchestra
8700,1960-04-09,The Theme From A Summer Place,Percy Faith And His Orchestra
8800,1960-04-16,The Theme From A Summer Place,Percy Faith And His Orchestra
8900,1960-04-23,The Theme From A Summer Place,Percy Faith And His Orchestra
9000,1960-04-30,Stuck On You,Elvis Presley With The Jordanaires
9100,1960-05-07,Stuck On You,Elvis Presley With The Jordanaires
9200,1960-05-14,Stuck On You,Elvis Presley With The Jordanaires
9300,1960-05-21,Stuck On You,Elvis Presley With The Jordanaires
9400,1960-05-28,Cathy's Clown,The Everly Brothers
9500,1960-06-04,Cathy's Clown,The Everly Brothers
9600,1960-06-11,Cathy's Clown,The Everly Brothers
9700,1960-06-18,Cathy's Clown,The Everly Brothers
9800,1960-06-25,Cathy's Clown,The Everly Brothers
9900,1960-07-02,Everybody's Somebody's Fool,Connie Francis
10000,1960-07-09,Everybody's Somebody's Fool,Connie Francis
10100,1960-07-16,Alley-Oop,Hollywood Argyles
10200,1960-07-23,I'm Sorry,Brenda Lee
10300,1960-07-30,I'm Sorry,Brenda Lee
10400,1960-08-06,I'm Sorry,Brenda Lee
10500,1960-08-13,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
10600,1960-08-20,It's Now Or Never,Elvis Presley With The Jordanaires
10700,1960-08-27,It's Now Or Never,Elvis Presley With The Jordanaires
10800,1960-09-03,It's Now Or Never,Elvis Presley With The Jordanaires
10900,1960-09-10,It's Now Or Never,Elvis Presley With The Jordanaires
11000,1960-09-17,It's Now Or Never,Elvis Presley With The Jordanaires
11100,1960-09-24,The Twist,Chubby Checker
11200,1960-10-01,My Heart Has A Mind Of Its Own,Connie Francis
11300,1960-10-08,My Heart Has A Mind Of Its Own,Connie Francis
11400,1960-10-15,Mr. Custer,Larry Verne
11500,1960-10-22,Save The Last Dance For Me,The Drifters
11600,1960-10-29,I Want To Be Wanted,Brenda Lee
11700,1960-11-05,Save The Last Dance For Me,The Drifters
11800,1960-11-12,Save The Last Dance For Me,The Drifters
11900,1960-11-19,Georgia On My Mind,Ray Charles
