,Rank,Song,Artist,Year
0,1,wooly bully,sam the sham and the pharaohs,1965
1,2,i cant help myself sugar pie honey bunch,four tops,1965
2,3,i cant get no satisfaction,the rolling stones,1965
3,4,you were on my mind,we five,1965
4,5,youve lost that lovin feelin,the righteous brothers,1965
5,6,downtown,petula clark,1965
6,7,help,the beatles,1965
7,8,cant you hear my heart beat,hermans hermits,1965
8,9,crying in the chapel,elvis presley,1965
9,10,my girl,the temptations,1965
10,11,help me rhonda,the beach boys,1965
11,12,king of the road,roger miller,1965
12,13,the birds and the bees,jewel akens,1965
13,14,hold me thrill me kiss me,mel carter,1965
14,15,shotgun,junior walker  the all stars,1965
15,16,i got you babe,sonny  cher,1965
16,17,this diamond ring,gary lewis  the playboys,1965
17,18,the in crowd,ramsey lewis trio,1965
18,19,mrs brown youve got a lovely daughter,hermans hermits,1965
19,20,stop in the name of love,the supremes,1965
20,21,unchained melody,the righteous brothers,1965
21,22,silhouettes,hermans hermits,1965
22,23,ill never find another you,the seekers,1965
23,24,cara mia,jay and the americans,1965
24,25,mr tambourine man,the byrds,1965
25,26,cast your fate to the wind,sounds orchestral,1965
26,27,yes im ready,barbara mason,1965
27,28,whats new pussycat,tom jones,1965
28,29,eve of destruction,barry mcguire,1965
29,30,hang on sloopy,the mccoys,1965
30,31,ticket to ride,the beatles,1965
31,32,red roses for a blue lady,bert kaempfert,1965
32,33,papas got a brand new bag,james brown,1965
33,34,game of love,wayne fontana  the mindbenders,1965
34,35,the name game,shirley ellis,1965
35,36,i know a place,petula clark,1965
36,37,back in my arms again,the supremes,1965
37,38,baby im yours,barbara lewis,1965
38,39,the jolly green giant,the kingsmen,1965
39,40,hush hush sweet charlotte,patti page,1965
40,41,like a rolling stone,bob dylan,1965
41,42,im telling you now,freddie and the dreamers,1965
42,43,ferry cross the mersey,gerry and the pacemakers,1965
43,44,just once in my life,the righteous brothers,1965
44,45,the seventh son,johnny rivers,1965
45,46,im henery the eighth i am,hermans hermits,1965
46,47,a walk in the black forest,horst jankowski,1965
47,48,for your love,the yardbirds,1965
48,49,california girls,the beach boys,1965
49,50,go now,the moody blues,1965
50,51,goldfinger,shirley bassey,1965
51,52,down in the boondocks,billy joe royal,1965
52,53,baby the rain must fall,glenn yarbrough,1965
53,54,catch us if you can,the dave clark five,1965
54,55,eight days a week,the beatles,1965
55,56,just a little,the beau brummels,1965
56,57,you turn me on,ian whitcomb,1965
57,58,ill be doggone,marvin gaye,1965
58,59,save your heart for me,gary lewis  the playboys,1965
59,60,tired of waiting for you,the kinks,1965
60,61,count me in,gary lewis  the playboys,1965
61,62,all day and all of the night,the kinks,1965
62,63,what the world needs now is love,jackie deshannon,1965
63,64,its not unusual,tom jones,1965
64,65,shes about a mover,sir douglas quintet,1965
65,66,shake,sam cooke,1965
66,67,wonderful world,hermans hermits,1965
67,68,nowhere to run,martha and the vandellas,1965
68,69,heart full of soul,the yardbirds,1965
69,70,love potion no 9,the searchers,1965
70,71,laurie strange things happen,dickey lee,1965
71,72,baby dont go,sonny  cher,1965
72,73,it aint me babe,the turtles,1965
73,74,tell her no,the zombies,1965
74,75,i go to pieces,peter and gordon,1965
75,76,red roses for a blue lady,vic dana,1965
76,77,dont just stand there,patty duke,1965
77,78,the tracks of my tears,the miracles,1965
78,79,too many rivers,brenda lee,1965
79,80,i like it like that,the dave clark five,1965
80,81,little things,bobby goldsboro,1965
81,82,true love ways,peter and gordon,1965
82,83,its the same old song,four tops,1965
83,84,youve got your troubles,the fortunes,1965
84,85,hold what youve got,joe tex,1965
85,86,we gotta get out of this place,the animals,1965
86,87,laugh laugh,the beau brummels,1965
87,88,the last time,the rolling stones,1965
88,89,do you believe in magic,the lovin spoonful,1965
89,90,all i really want to do,cher,1965
90,91,take me back,little anthony and the imperials,1965
91,92,i want candy,the strangeloves,1965
92,93,ooo baby baby,the miracles,1965
93,94,laugh at me,sonny bono,1965
94,95,treat her right,roy head,1965
95,96,the race is on,jack jones,1965
96,97,im a fool,dino desi  billy,1965
97,98,the boy from new york city,the ad libs,1965
98,99,keep searchin well follow the sun,del shannon,1965
99,100,how sweet it is to be loved by you,marvin gaye,1965
100,1,ballad of the green berets,ssgt barry sadler,1966
101,2,cherish,the association,1966
102,3,youre my soul and inspiration,the righteous brothers,1966
103,4,reach out ill be there,the four tops,1966
104,5,96 tears,  the mysterians,1966
105,6,last train to clarksville,the monkees,1966
106,7,monday monday,the mamas  the papas,1966
107,8,you cant hurry love,the supremes,1966
108,9,poor side of town,johnny rivers,1966
109,10,california dreamin,the mamas  the papas,1966
110,11,summer in the city,lovin spoonful,1966
111,12,born free,roger williams,1966
112,13,these boots are made for walkin,nancy sinatra,1966
113,14,what becomes of the brokenhearted,jimmy ruffin,1966
114,15,strangers in the night,frank sinatra,1966
115,16,we can work it out,the beatles,1966
116,17,good lovin,the young rascals,1966
117,18,winchester cathedral,new vaudeville band,1966
118,19,hanky panky,tommy james and the shondells,1966
119,20,when a man loves a woman,percy sledge,1966
120,21,paint it black,the rolling stones,1966
121,22,my love,petula clark,1966
122,23,lightnin strikes,lou christie,1966
123,24,wild thing,the troggs,1966
124,25,kicks,paul revere  the raiders,1966
125,26,sunshine superman,donovan,1966
126,27,sunny,bobby hebb,1966
127,28,paperback writer,the beatles,1966
128,29,see you in september,the happenings,1966
129,30,you keep me hangin on,the supremes,1966
130,31,lil red riding hood,sam the sham and the pharaohs,1966
131,32,devil with a blue dress ongood golly miss molly,mitch ryder  the detroit wheels,1966
132,33,good vibrations,the beach boys,1966
133,34,a groovy kind of love,the mindbenders,1966
134,35,you dont have to say you love me,dusty springfield,1966
135,36,cool jerk,the capitols,1966
136,37,born a woman,sandy posey,1966
137,38,red rubber ball,the cyrkle,1966
138,39,baby,carla thomas,1966
139,40,walk away renee,the left banke,1966
140,41,daydream,the lovin spoonful,1966
141,42,time wont let me,the outsiders,1966
142,43,hooray for hazel,tommy roe,1966
143,44,sweet pea,tommy roe,1966
144,45,bus stop,the hollies,1966
145,46,im your puppet,james  bobby purify,1966
146,47,im so lonesome i could cry,bj thomas,1966
147,48,aint too proud to beg,the temptations,1966
148,49,dirty water,the standells,1966
149,50,elusive butterfly,bob lind,1966
150,51,i am a rock,simon  garfunkel,1966
151,52,crying time,ray charles,1966
152,53,secret agent man,johnny rivers,1966
153,54,the sound of silence,simon  garfunkel,1966
154,55,lady godiva,peter and gordon,1966
155,56,homeward bound,simon  garfunkel,1966
156,57,did you ever have to make up your mind,the lovin spoonful,1966
157,58,barefootin,robert parker,1966
158,59,uptight everythings alright,stevie wonder,1966
159,60,bang bang my baby shot me down,cher,1966
160,61,sloop john b,the beach boys,1966
161,62,19th nervous breakdown,the rolling stones,1966
162,63,wipe out,the surfaris,1966
163,64,psychotic reaction,count five,1966
164,65,beauty is only skin deep,the temptations,1966
165,66,no matter what shape your stomachs in,the tbones,1966
166,67,just like me,paul revere  the raiders,1966
167,68,love makes the world go round,deon jackson,1966
168,69,the pied piper,crispian st peters,1966
169,70,coming on strong,brenda lee,1966
170,71,somewhere my love,ray conniff singers,1966
171,72,almost persuaded,david houston,1966
172,73,if i were a carpenter,bobby darin,1966
173,74,dont mess with bill,the marvelettes,1966
174,75,cherry cherry,neil diamond,1966
175,76,working in the coal mine,lee dorsey,1966
176,77,message to michael,dionne warwick,1966
177,78,love is a hurtin thing,lou rawls,1966
178,79,barbara ann,the beach boys,1966
179,80,gloria,shadows of knight,1966
180,81,my world is empty without you,the supremes,1966
181,82,rainy day women 12  35,bob dylan,1966
182,83,guantanamera,the sandpipers,1966
183,84,land of 1000 dances,wilson pickett,1966
184,85,oh how happy,the shades of blue,1966
185,86,woman,peter and gordon,1966
186,87,you baby,the turtles,1966
187,88,five oclock world,the vogues,1966
188,89,black is black,los bravos,1966
189,90,nowhere man,the beatles,1966
190,91,dandy,hermans hermits,1966
191,92,baby scratch my back,slim harpo,1966
192,93,shes just my style,gary lewis  the playboys,1966
193,94,the more i see you,chris montez,1966
194,95,i fought the law,bobby fuller four,1966
195,96,yellow submarine,the beatles,1966
196,97,hungry,paul revere  the raiders,1966
197,98,zorba the greek,herb alpert and the tijuana brass,1966
198,99,shapes of things,the yardbirds,1966
199,100,6345789 soulsville usa,wilson pickett,1966
200,1,to sir with love,lulu,1967
201,2,the letter,the box tops,1967
202,3,ode to billie joe,bobbie gentry,1967
203,4,windy,the association,1967
204,5,im a believer,the monkees,1967
205,6,light my fire,the doors,1967
206,7,somethin stupid,frank  nancy sinatra,1967
207,8,happy together,the turtles,1967
208,9,groovin,the young rascals,1967
209,10,cant take my eyes off you,frankie valli,1967
210,11,little bit o soul,the music explosion,1967
211,12,i think were alone now,tommy james and the shondells,1967
212,13,respect,aretha franklin,1967
213,14,i was made to love her,stevie wonder,1967
214,15,come back when you grow up,bobby vee,1967
215,16,kind of a drag,the buckinghams,1967
216,17,sweet soul music,arthur conley,1967
217,18,expressway to your heart,the soul survivors,1967
218,19,soul man,sam  dave,1967
219,20,never my love,the association,1967
220,21,apples peaches pumpkin pie,jay  the techniques,1967
221,22,come on down to my boat,every mothers son,1967
222,23,incense and peppermints,strawberry alarm clock,1967
223,24,ruby tuesday,the rolling stones,1967
224,25,it must be him,vikki carr,1967
225,26,love is here and now youre gone,the supremes,1967
226,27,for what its worth,buffalo springfield,1967
227,28,gimme little sign,brenton wood,1967
228,29,the happening,the supremes,1967
229,30,all you need is love,the beatles,1967
230,31,release me,engelbert humperdinck,1967
231,32,your precious love,marvin gaye  tammi terrell,1967
232,33,somebody to love,jefferson airplane,1967
233,34,get on up,the esquires,1967
234,35,brown eyed girl,van morrison,1967
235,36,jimmy mack,martha and the vandellas,1967
236,37,i got rhythm,the happenings,1967
237,38,a whiter shade of pale,procol harum,1967
238,39,dont you care,the buckinghams,1967
239,40,then you can tell me goodbye,the casinos,1967
240,41,reflections,the supremes,1967
241,42,on a carousel,the hollies,1967
242,43,please love me forever,bobby vinton,1967
243,44,alfie,dionne warwick,1967
244,45,silence is golden,the tremeloes,1967
245,46,my cup runneth over,ed ames,1967
246,47,up up and away,the 5th dimension,1967
247,48,san francisco be sure to wear flowers in your hair,scott mckenzie,1967
248,49,the rain the park  other things,the cowsills,1967
249,50,theres a kind of hush,hermans hermits,1967
250,51,mercy mercy mercy,the buckinghams,1967
251,52,this is my song,petula clark,1967
252,53,your love keeps lifting me higher and higher,jackie wilson,1967
253,54,ive been lonely too long,the young rascals,1967
254,55,penny lane,the beatles,1967
255,56,youre my everything,the temptations,1967
256,57,georgy girl,the seekers,1967
257,58,western union,five americans,1967
258,59,baby i love you,aretha franklin,1967
259,60,a little bit me a little bit you,the monkees,1967
260,61,california nights,lesley gore,1967
261,62,dedicated to the one i love,the mamas  the papas,1967
262,63,how can i be sure,the young rascals,1967
263,64,carrie anne,the hollies,1967
264,65,we aint got nothin yet,blues magoos,1967
265,66,friday on my mind,the easybeats,1967
266,67,soul finger,the barkays,1967
267,68,gimme some lovin,the spencer davis group,1967
268,69,let it out let it all hang out,the hombres,1967
269,70,lets live for today,the grass roots,1967
270,71,close your eyes,peaches  herb,1967
271,72,groovin,booker t  the mgs,1967
272,73,funky broadway,wilson pickett,1967
273,74,pleasant valley sunday,the monkees,1967
274,75,i never loved a man the way i love you,aretha franklin,1967
275,76,tell it like it is,aaron neville,1967
276,77,cold sweat,james brown,1967
277,78,shed rather be with me,the turtles,1967
278,79,986,keith,1967
279,80,here we go again,ray charles,1967
280,81,white rabbit,jefferson airplane,1967
281,82,bernadette,four tops,1967
282,83,the beat goes on,sonny  cher,1967
