,title,rating,runtime
0,Thor: Ragnarok,7.9,130 min
1,Wonder Woman,7.5,141 min
2,Guardians of the Galaxy Vol. 2,7.7,136 min
3,Logan,8.1,137 min
4,Despicable Me 3,6.3,89 min
5,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,129 min
6,Justice League,6.7,120 min
7,Star Wars: Episode VIII - The Last Jedi,7.3,152 min
8,Kong: Skull Island,6.7,118 min
9,War for the Planet of the Apes,7.5,140 min
10,Ghost in the Shell,6.4,107 min
11,Spider-Man: Homecoming,7.5,133 min
12,The LEGO Batman Movie,7.3,104 min
13,Beauty and the Beast,7.2,129 min
14,Smurfs: The Lost Village,5.9,90 min
15,The Fate of the Furious,6.7,136 min
16,Fifty Shades Darker,4.6,118 min
17,Pitch Perfect 3,6.0,93 min
18,Transformers: The Last Knight,5.2,154 min
19,Power Rangers,6.0,124 min
20,The Mummy,5.5,110 min
21,Paddington 2,8.0,103 min
22,Alien: Covenant,6.5,122 min
23,Kingsman: The Golden Circle,6.8,141 min
24,The Emoji Movie,3.1,86 min
25,xXx: Return of Xander Cage,5.2,107 min
26,Jumanji: Welcome to the Jungle,7.0,119 min
27,Baywatch,5.6,116 min
28,It,7.5,135 min
29,Blade Runner 2049,8.1,164 min
30,John Wick: Chapter 2,7.5,122 min
31,Fist Fight,5.6,91 min
32,The Nut Job 2: Nutty by Nature,5.3,91 min
33,Coco,8.5,105 min
34,Annabelle: Creation,6.6,109 min
35,Rough Night,5.2,101 min
36,The Hitman's Bodyguard,6.9,118 min
37,Valerian and the City of a Thousand Planets,6.5,137 min
38,Jigsaw,5.8,92 min
39,The Lego Ninjago Movie,6.0,101 min
40,Rings,4.5,102 min
41,Father Figures,5.3,113 min
42,The Space Between Us,6.4,120 min
43,Going in Style,6.6,96 min
44,Life,6.6,104 min
45,Surf's Up 2: WaveMania,4.6,84 min
46,The Discovery,6.3,102 min
47,Geostorm,5.4,109 min
48,The Circle,5.3,110 min
49,King Arthur: Legend of the Sword,6.8,126 min
50,Daddy's Home 2,6.0,100 min
51,A Bad Moms Christmas,5.5,104 min
52,Atomic Blonde,6.7,115 min
53,Dunkirk,8.0,106 min
54,Baby Driver,7.7,112 min
55,Girls Trip,6.3,122 min
56,The Dark Tower,5.7,95 min
57,Get Out,7.7,104 min
58,Snatched,4.4,90 min
59,The Boss Baby,6.3,97 min
60,9/11,4.0,90 min
61,The Snowman,5.1,119 min
62,CHIPS,6.0,100 min
63,Once Upon a Time in Venice,5.2,94 min
64,Molly's Game,7.5,140 min
65,Mother!,6.7,121 min
66,Shot Caller,7.3,121 min
67,Megan Leavey,7.1,116 min
68,Logan Lucky,7.1,118 min
69,Unlocked,6.2,98 min
70,All Eyez on Me,5.8,139 min
71,A Ghost Story,6.9,92 min
72,American Made,7.2,115 min
73,47 Meters Down,5.7,89 min
74,2:22,5.7,98 min
75,Good Time,7.3,101 min
76,Rememory,6.2,111 min
77,Ferdinand,6.7,108 min
78,Jungle,6.7,115 min
79,Ingrid Goes West,6.7,98 min
80,Wind River,7.8,107 min
81,Happy Death Day,6.5,96 min
82,Flatliners,5.2,109 min
83,The Disaster Artist,7.6,104 min
84,American Assassin,6.2,112 min
85,The Man Who Invented Christmas,7.0,104 min
86,The Foreigner,7.0,113 min
87,Bright,6.4,117 min
88,Bon Cop Bad Cop 2,6.7,126 min
89,The Mountain Between Us,6.4,112 min
90,Unforgettable,5.0,100 min
91,HHhH,6.4,120 min
92,"I, Tonya",7.6,120 min
93,Last Flag Flying,6.9,125 min
94,Marshall,7.2,118 min
95,All the Money in the World,6.9,132 min
96,The Vault,4.8,91 min
97,Bullet Head,5.3,93 min
98,Goodbye Christopher Robin,7.1,107 min
99,November Criminals,5.2,85 min
