Titles,Authors,Dates,Tags,Url
「消失的檔案」：香港開放數據大檢討,Ren Xinya,2017-04-07,HongKong|OpenData,http://initiumlab.com/blog/20170407-open-data-hk/
數據新聞的精選 Feed 列表,Chia ni Liu,2017-04-01,DataJournalism|DataVisualisation|RSS|Feed,http://initiumlab.com/blog/20170401-data-news/
特朗普父女推特解密,"Li Yiming,Li Yuqiong",2017-03-29,Twitter|Trump|Ivanka,http://initiumlab.com/blog/20170329-trump-and-ivanka/
2017 香港開放數據黑客松成果紀錄,Chia ni Liu,2017-03-24,Hackathon|OpenData,http://initiumlab.com/blog/20170324-hk-odd/
編輯必備！4個助你挖掘價值訊息的選題工具,"Hu Pili, Ren Xinya",2017-03-15,NewsTool|Editor|TopicSelection,http://initiumlab.com/blog/20170315-news-tool/
哥大資料視覺化大師 Soma 在浸會大學的密技分享,Chia ni Liu,2017-03-12,Design|DataJournalism|JonathanSoma,http://initiumlab.com/blog/20170312-soma-post/
新出媒體知多少？,Ren Xinya,2017-02-22,newmedia,http://initiumlab.com/blog/20170222-new-media/
俗話說「好事不出門、壞事傳千里」，真的是這樣嗎？,Ren Xinya,2017-01-13,Interpersonalcloseness|Word-of-mouthvalence|Socialmedia,http://initiumlab.com/blog/20170113-Sharing-With-Friends-Versus-Strangers/
Facebook App Download Conversion,Initium Lab,2016-12-29,lang-English|DataAnalytics|GrowthHacking,http://initiumlab.com/blog/20161229-Facebook-App-Download-Conversion/
省電不差我一個嗎？台北市一級發布區用電量比較,Tianchung Lin,2016-09-08,powerusage|Taipei,http://initiumlab.com/blog/20160908-taipei-power-usage/
