Titles,Authors,Dates
「消失的檔案」：香港開放數據大檢討,Ren Xinya,2017-04-07
數據新聞的精選 Feed 列表,Chia ni Liu,2017-04-01
特朗普父女推特解密,"Li Yiming,Li Yuqiong",2017-03-29
2017 香港開放數據黑客松成果紀錄,Chia ni Liu,2017-03-24
編輯必備！4個助你挖掘價值訊息的選題工具,"Hu Pili, Ren Xinya",2017-03-15
哥大資料視覺化大師 Soma 在浸會大學的密技分享,Chia ni Liu,2017-03-12
新出媒體知多少？,Ren Xinya,2017-02-22
俗話說「好事不出門、壞事傳千里」，真的是這樣嗎？,Ren Xinya,2017-01-13
Facebook App Download Conversion,Initium Lab,2016-12-29
省電不差我一個嗎？台北市一級發布區用電量比較,Tianchung Lin,2016-09-08
五張圖看懂：香港立法會選舉地區直選議席劃分是否合理？,黃浚煒,2016-09-03
過去四年，立法會議員都討論了什麼？,Initium Lab,2016-09-01
立法會選舉的世代之爭？數據指長者不一定投建制,Tom Tsang,2016-08-24
「題海戰術」佔領英倫課堂？——關於中式數學教育的幾個事實,Cheng Yixiang,2016-08-15
開放陸生赴台，五年來改變了什麼？,趙安平,2016-08-12
2張圖看香港過去30年漲價最多是哪個商品,Andy Lin,2016-08-10
數字看「開放陸生赴台就讀」的五年,趙安平,2016-08-08
香港房價比台北貴多少？3張圖看兩座城市的居住條件,Andy Lin,2016-08-03
一張地圖帶你「捕捉」香港年輕選民,Vincent Lau,2016-07-31
23萬投票紀錄 回顧第五屆香港立法會,Initium Lab,2016-07-30
Adopt MediaWiki as Our Internal Knowledge Management System,Chunliang Lyu,2016-07-30
奧運冠軍的後奧運生活,沈書緣,2016-07-28
香港房屋年齡地圖：帶你看3萬棟私人大廈的建築年份,Andy Lin,2016-07-25
射電望遠鏡你知多少,黃杜煜,2016-07-20
台灣房價分析：找出最近4年房價漲勢最兇的地方,Andy Lin,2016-07-18
職業運動員究竟能賺多少錢？,Cheng Yixiang,2016-07-14
世界主要貨幣十年走勢分析,Andy Lin,2016-07-08
希拉里與特朗普的話語玄機,Cheng Yixiang,2016-07-04
Orlando Shooting: What did Americans say on Twitter?,Cheng Yixiang,2016-06-22
從數據看全球海洋漁業二十年,"Shen Shuyuan, Cheng Yixiang",2016-06-22
A Small Tweak Doubles Ad CTR,"Zeng Xi, Shen Shuyuan",2016-06-15
統計的謊言,"Xia Mengyao, Cheng Yixiang",2016-06-13
「支援中西部地區招生協作計劃」令高等教育更加公平？,Cheng Yixiang,2016-06-08
Map Visualisation for Panama Papers and Offshore Leaks in R,"Charlie Chen, Chao Tianyi",2016-05-29
Reflection on GitHub's New Pricing Model,Initium Lab,2016-05-28
Geek 如何對抗莆田系醫院？,Xia Mengyao,2016-05-22
Time Saving One-Liners for Journalists,Initium Lab,2016-04-08
帶一本書虛度時光？香港 20 處讀書聖地,"蘇靈茵, Initium Lab",2016-04-01
你真的了解數據新聞嗎？﹣﹣八大誤區，你中了幾槍？,Xingchen Zhou,2016-03-16
Google Sheets 技巧總結,Chao Tianyi,2016-02-03
香港科研經費競爭本已激烈 評審制度再被批,張軒婷,2016-02-02
除了折線和地圖，還可以怎樣呈現全球變暖？,Chao Tianyi,2016-01-28
關係圖表速成方案：Google Fusion Tables & Kumu,Chao Tianyi,2015-12-01
Jackathon #7 Data Hacking,Initium Lab,2015-11-30
The First PyCon in Hong Kong - PyCon HK 2015,Initium Lab,2015-11-19
Hong Kong Code Conf 2015,Andy Shu Xin,2015-11-12
哪國大學裏女生比例最高？聯合國超全數據集告訴你,Frank Lin,2015-11-06
Initium Lab at BarCamp Hong Kong 2015,Initium Lab,2015-11-05
Jackathon #5 -- Read a journalism book in 8 hours,Initium Lab,2015-10-25
Infographic for the Blind: We Tried 3D Printing That Almost Worked,"Andy Shu,Chao Tianyi",2015-10-15
在Facebook找新聞線索？FB Signal搶鮮試用,Andy Shu,2015-10-15
一張圖讀懂喬布斯數據化妝術,Andy Shu,2015-10-12
數據新聞人，今夜我們談色,Andy Shu,2015-10-12
Jackathon #5: Read Journalism,Initium Lab,2015-10-05
小工具有大作用-輕鬆截屏剪裁,Initium Lab,2015-10-01
整日做表沒思路？Google幫你開腦洞,Chao Tianyi,2015-09-30
Hacker News 簡介,Initium Lab,2015-09-28
React in One Hour,Initium Lab,2015-09-25
Jackathon #3 -- Read a data science book in 8 hours,Initium Lab,2015-09-22
Legco Matrix Brief (English),Initium Lab,2015-09-16
冥王星到底有多大？,Initium Lab,2015-09-05
可視化火了 盲人怎麼辦,Andy Shu,2015-09-01
一張圖看懂香港立法會點票機制,Andy Shu,2015-08-21
直擊烏雲峯會：無線通訊成黑色產業新戰場,VV,2015-07-30
