,Subject,Link
0,Active Audience: Course guide,https://guides.library.columbia.edu/activeaudience
1,Adriatic Romanticisms,https://guides.library.columbia.edu/romanticism
2,Advanced Investment Research: Course guide,https://guides.library.columbia.edu/AIR
3,Advanced Investment Research: Course guide,https://guides.library.columbia.edu/advinvestment
4,African Civilization (AFCV C1020),https://guides.library.columbia.edu/AFCV-C1020-001
5,African Diaspora & African Literatures,https://guides.library.columbia.edu/African_Diaspora_and_African_Literatures
6,African-American Studies,https://guides.library.columbia.edu/afamst
7,American Graphic Novel,https://guides.library.columbia.edu/AMST-W3630
8,American History and American Studies,https://guides.library.columbia.edu/american
9,Ancient and classical literature,https://guides.library.columbia.edu/CLAS
10,Anthropology of Contemporary Italy,https://guides.library.columbia.edu/ITAL-W4055-001
11,Anthropology Research Guide,https://guides.library.columbia.edu/ANTH
12,Applied Physics & Applied Mathematics Research Guide,https://guides.library.columbia.edu/APAM
13,Archaeology: Resources for Research,https://guides.library.columbia.edu/archaeology_resources_for_research
14,Architecture,https://guides.library.columbia.edu/ARCH
15,Architecture: Basic Resources for Research,https://guides.library.columbia.edu/architecture
16,Arnold A. Saltzman Institute of War and Peace Studies,https://guides.library.columbia.edu/c.php?g=387118
17,Art History,https://guides.library.columbia.edu/AHIS
18,Art History: Resources for Research,https://guides.library.columbia.edu/art_history_resources_for_research
19,Art of the Américas,https://guides.library.columbia.edu/latinamerica_art
20,Asian Civilization Course Guide,https://guides.library.columbia.edu/ASCE
21,Bangladesh,https://guides.library.columbia.edu/sasia-bangladesh
22,Barnard: Research Methods/Religion Lab,https://guides.library.columbia.edu/BarnardReligionLabResearch
23,Basic Guide to Research on Africa,https://guides.library.columbia.edu/basic_guide_to_research_on_africa
24,Behaving & Misbehaving: The Body in Early Modern Europe,https://guides.library.columbia.edu/thebody
25,Bhutan,https://guides.library.columbia.edu/sasia-bhutan
26,Biblical Studies,https://guides.library.columbia.edu/biblicalstudies
27,Bill of Rights (POLS-UN3921-001),https://guides.library.columbia.edu/POLS-UN3921-001
28,Bioethics Research Guide,https://guides.library.columbia.edu/bioethics
29,Biology Research Guide,https://guides.library.columbia.edu/biology
30,Biology Research Guide for Courseworks,https://guides.library.columbia.edu/BIOL
31,Biomedical & Health Sciences Research Guide,https://guides.library.columbia.edu/Biomedical
32,Biomedical Engineering Research Guide,https://guides.library.columbia.edu/BMEN
33,Bloomberg Help Guide,https://guides.library.columbia.edu/bloomberg
34,British History,https://guides.library.columbia.edu/brithist
35,Business & Economics Guides,https://guides.library.columbia.edu/researchguides
36,Business & Economics Journalism,https://guides.library.columbia.edu/journalism-business
37,Business School MS students,https://guides.library.columbia.edu/ms
38,Campaigns & Elections,https://guides.library.columbia.edu/usgd/campaigns
39,Capital IQ Research Guide,https://guides.library.columbia.edu/capitaliq
40,CBS MBA Orientation,https://guides.library.columbia.edu/MBA
41,Census Geography/Maps/GIS,https://guides.library.columbia.edu/geography
42,Census of Agriculture,https://guides.library.columbia.edu/agcensus
43,Chemical Engineering Research Guide,https://guides.library.columbia.edu/CHEN
44,Chemistry Research Guide,https://guides.library.columbia.edu/chemistry
45,Chemistry Research Guide,https://guides.library.columbia.edu/CHEM
46,Chinese Oral History & Papers,https://guides.library.columbia.edu/c.php?g=826896
47,Chinese Rare Books and Special Collections,https://guides.library.columbia.edu/c.php?g=826838
48,Civil Engineering Research Guide,https://guides.library.columbia.edu/CIEN
49,Civil Wars and International Interventions in Africa,https://guides.library.columbia.edu/cwii-africa
50,Civil Wars and International Interventions in Africa (POLS V3604),https://guides.library.columbia.edu/POLS-V3604-001
51,CLME UN1520: Introduction to Modern Hebrew Literature,https://guides.library.columbia.edu/CLME-W1520
52,CLYD W3600: Holocaust Literature: A Survey,https://guides.library.columbia.edu/CLYD-W3600
53,Colloquium on Precolonial African Historiography (HIST G8760),https://guides.library.columbia.edu/HIST-G8760--001
54,Columbia Historical Corporate Annual Reports,https://guides.library.columbia.edu/Hist_Corp_Rept
55,Columbia University Archives,https://guides.library.columbia.edu/uarchives
56,Columbia University Buildings: Research Guide & Selected Bibliography,https://guides.library.columbia.edu/columbia_university_buildings
57,Company Information Guide,https://guides.library.columbia.edu/company
58,Comparative Literature and Society,https://guides.library.columbia.edu/CPLS
59,Comparative Urban Policy: Research Guide,https://guides.library.columbia.edu/PUAF-U6239
60,Computer Science Research Guide,https://guides.library.columbia.edu/COMS
61,Contemporary African Politics,https://guides.library.columbia.edu/contemporary-African-politics
62,Contemporary African Politics (POLS GU4496),https://guides.library.columbia.edu/POLS-GU4496-001
63,Contemporary Western Civilization I,https://guides.library.columbia.edu/COCI-C1101-041
64,Contemporary Western Civilization I,https://guides.library.columbia.edu/COCI-C1101-036
65,Contemporary Western Civilization II,https://guides.library.columbia.edu/COCI-C1102-041
66,Contemporary Western Civilization II,https://guides.library.columbia.edu/COCI-C1102-048
67,Copy of East Asian Studies Course Guide,https://guides.library.columbia.edu/EARL
68,Courseworks Research Guide,https://guides.library.columbia.edu/courseguides
69,Craft & Science: Objects and Making in the Early Modern World,https://guides.library.columbia.edu/HIST-G8906
