,title,datetime,lat,long,url,rating,comment
0,Berry Beans,2018-11-09 12:39:28,39.894514,116.392366,/poi/29591702.html,5,一杯好咖啡是一家咖啡馆的基本，在此基础上，再加上品味独特的环境，吸引力会倍增。可以上房揭瓦，还能喝到老板亲自做的“环游世界”手冲
1,大连恒隆广场Olympia 66,2018-10-17 11:15:19,38.90614,121.609461,/poi/18756904.html,5,"恒隆广场很大，超级大，以前这里是大连奥林匹克足球场，近些年被改造成了商场，几乎包含了所有的商场里常见的品牌，也有很多小而美的装饰，如果你想在大连逛个街，这里会满足你所有的需求。
商场一层的音乐阶梯是我妈妈推荐给我的地方，每走一步台阶，阶梯就会亮起彩色的灯，响起音调，每一层的颜色不一样，音调也不一样，快步的跑上跑下就可以跑出连续的音乐声，很有趣。"
2,岩石区The Rocks,2018-10-16 09:30:43,-33.85985,151.20901,/poi/30285.html,4,"整个岩石区，白天没觉得有多少人，安安静静地很舒服的感觉，但是！到了晚上！世界就变了！感觉整个悉尼的人都横空冒了出来，出现在每一家餐厅里！险些吃不上饭！
在岩石区逛了一圈，但凡上了排行榜的餐厅，全部人满为患，万万没想到，第一次在旅行中出现了吃饭难的问题。"
3,Fortune of WarFortune of War,2018-10-16 09:30:06,-33.860335672698,151.20842591487,/poi/24791078.html,4,"这家店于1828年诞生，距今已经190年！
走进门我有呆住一下，我是走进了老年棋牌室么？大叔俱乐部搞活动包场？店里坐满了大叔大爷，造型和气质还十分相似，有股莫名的喜感。
袋鼠肉本肉，做法和牛排很像，吃起来口感比牛排硬而且涩，也不知道是不是心理原因，总觉得有一股膻味，真的吃不惯，配啤酒还稍微好一点。还是牛排好吃。
晚上的Fortune of War更加热闹，那可真是人山人海锣鼓喧天鞭炮齐鸣……想进都挤不进去。如果想感受悉尼热闹的夜生活，这里是很不错的选择。"
4,冲浪者天堂Surfers Paradise,2018-10-16 09:28:51,-28.000081,153.416641,/poi/17155.html,5,"是全世界冲浪爱好者朝拜的地方，来这里怎么能不体验一下冲浪呢？
长达42公里的冲浪者海滩，常年有高度适宜的海浪，供游客嬉戏玩耍，也是新手学习冲浪的最佳地点。冲浪专业人士可不满足于小风小浪，他们都在42公里外的尽头悬崖处乘风破浪，那里的海浪温柔的时候也有2到3米高，狂风大作的时候，就是巨浪了。这次没有看到专业人士冲浪，对我是个小遗憾，一定比电影里演的震撼很多吧～
超长的海岸线真的太美，岸边散落着晒太阳的人，海里都是在浪的人，每一个海浪打来，都会激起一片惊呼欢笑。
像是一个没有烦恼的地方。"
5,穴岩The Grotto,2018-10-08 17:37:31,-38.616485,142.916075,/poi/7007316.html,5,穴岩离伦敦桥只有一公里，顾名思义，就是有一个洞穴的岩石。洞穴通向大海，海浪拍岸，有环绕立体声的效果。
6,伦敦断桥London Bridge,2018-10-08 17:36:51,-38.62241339859,142.9318600148,/poi/7663814.html,5,这片海的颜色太美，浪花有节奏的打在岩石上，痴痴地在这里站了很久。
7,洛克阿德峡谷Loch Ard Gorge,2018-10-08 17:36:20,-38.6465896,143.0705094,/poi/17903.html,5,"是大洋路上少有的可以下到海滩，走进风景里的景点。
两边巨石耸立，留下一个开口，海水从这里涌入，从沙滩上看过去，像是通往另一个未知世界的大门。"
8,Princetown Wetlands BoardwalkPrincetown Wetlands Boardwalk,2018-10-08 17:35:42,-38.69893,143.15918,/poi/52388672.html,5,王子镇不在大洋路的常规路线里，却是一个很安静美好的世外桃源般的存在。镇子很小很小，只由几个小店和住所组成。
9,Apollo Bay BakeryApollo Bay Bakery,2018-10-08 17:32:58,-38.755989858104,143.66905037916,/poi/59039476.html,5,面包和点心的种类超多，最独特也最推荐的是带子派（也就是干贝派），味道很鲜美，而且干贝肉很多，很实在。
10,The Bottle of MilkThe Bottle of Milk,2018-10-08 17:31:13,-38.537487,143.974555,/poi/15455115.html,5,"全世界最好吃的牛肉汉堡！
大块的鲜嫩牛肉，丰富的配菜，关键在于酱汁，咸鲜中带有一丝焦糖的味道，好吃哭！
汉堡店马路对面就是海边，将汉堡外带到沙滩上，看着海景吃味道更棒，不过会有成群的海鸥对着你行注目礼，眼神里都是对汉堡的渴望。"
11,安格尔西小镇Angelsea,2018-10-08 17:29:50,-38.409783802256,144.18259161371,/poi/17876.html,5,小镇里有一个湖，周边有很多休闲娱乐设施，很多家长带着小朋友在湖边玩耍，也有很多人在这里垂钓，或泛舟湖上。
