Name,Location,Price,Region,Style,Likes
吞POT 雞煲火鍋.住家菜 Lazy Pot,旺角彌敦道726號23樓,$101-200,港式,甜品/糖水,304
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角彌敦道558-560號譽發廣場3樓,$201-400,港式,火鍋,171
養心殿台式養生鍋,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,台灣菜,火鍋,160
吞POT 雞煲火鍋.住家菜 Lazy Pot,油麻地彌敦道560號譽發廣場22樓,$101-200,台灣菜,火鍋,133
Scarlett Cafe & Wine Bar,尖沙咀柯士甸路2號地舖,$201-400,港式,火鍋,92
回到味來,旺角彌敦道594-596號旺角新城3樓,$201-400,法國菜,法國菜,134
韓讚 Zzang,銅鑼灣渣甸街66號Aura on Pennington 2樓,$101-200,港式,火鍋,45
PVP,銅鑼灣謝斐道468號百達中心3樓,$101-200,韓國菜,火鍋,0
MoMo Café,西環干諾道西167號香港萬怡酒店,$201-400,西式,酒,58
The Oyster House,灣仔謝斐道154號地下C號舖,$201-400,多國菜,素食,177
DK Bar & Restaurant,尖沙咀金巴利道40號MW Plaza 2樓,$51-100,意大利菜,海鮮,37
御花園咖啡室 Cafe Rivoli,銅鑼灣怡和街88號富豪香港酒店1樓,$201-400,多國菜,酒吧,57
糖果工房 Sugar Factory Cafe,旺角登打士街36號恆威商業中心13樓,$51-100,西式,自助餐,7
Gastrobox the Cameron,尖沙咀金馬倫道33號 The Cameron 1樓101號舖,$101-200,日本菜,甜品/糖水,115
潮食街 eatstreet@pentalounge,新蒲崗六合街19號香港九龍貝爾特酒店1樓,$201-400,日本菜,串燒,63
Gastrobox The Union,西環堅尼地城卑路乍街150號加多近山地下1號舖,$101-200,多國菜,自助餐,19
花朝軒 Fat Duck Den Seafood Cuisine,西貢萬年街79-81號地舖,$101-200,西式,海鮮,23
LCB express,銅鑼灣駱克道487-489號駱克駅3樓,$101-200,京川滬,中菜館,10
Running 燒 Running BBQ,旺角彌敦道726號9樓,$201-400,西式,沙律,386
Zenon Café,中環威靈頓街86號地舖,$51-100,韓國菜,自助餐,221
Lifetastic,西環石塘咀山道31-37號地下B舖,$101-200,西式,三文治,138
火鍋煮場,深水埗福榮街14號地舖,$201-400,澳洲菜,All Day Breakfast,83
Mirror & Vegan Concept,中環皇后大道中118號9樓,$101-200,粵菜 (廣東),火鍋,82
小欖燒烤樂園 BBQ by the Beach,屯門青山公路小欖段DD384 LOT253,$101-200,意大利菜,素食,121
湯•米 Soup and Rice,旺角豉油街60-104號鴻都大廈地下AB舖,$51-100,港式,燒烤,81
蠔站 OS Plus,荃灣楊屋道1號荃新天地一期上層地下UG41號舖,$101-200,台灣菜,火鍋,27
享慢煮意 Fast Gourmet,中環善慶街9號地舖,$51-100,西式,蠔吧,24
LAB EAT Restaurant & Bar,旺角彌敦道700號T.O.P. This is Our Place 5樓502號舖,$201-400,多國菜,All Day Breakfast,86
相馬日式火鍋 Soma Shabu Shabu,觀塘成業街10號電訊一代廣場1樓B2號舖,$101-200,西式,甜品/糖水,62
相馬日式火鍋 Soma Shabu Shabu,荔枝角長義街10號昌隆工業大廈1樓B-C舖,$101-200,日本菜,火鍋,79
Doux,旺角彌敦道726號18樓全層,$101-200,日本菜,火鍋,375
卡莎338 Casa 338,長沙灣東京街50號地舖,$51-100,多國菜,甜品/糖水,133
Bostonian Seafood & Grill,尖沙咀北京道8號香港朗廷酒店低層大堂,$401-800,西式,酒,139
大和豚総本店 YAMATON,旺角彌敦道639號雅蘭中心1樓101-102號舖,$101-200,多國菜,海鮮,80
FRITES Belgium on Tap,灣仔港灣道28號Brim 28灣景中心1樓6號舖,$201-400,韓國菜,拉麵,42
Pepino 意大利餐廳 Pepino Italian Restaurant,灣仔灣仔謝斐道238號香港諾富特世紀酒店1樓,$201-400,比利時菜,西餐廳,64
Ent Restaurant and Bar,大埔汀角路龍尾村20號A地舖,$101-200,意大利菜,酒店餐廳,24
萬豪中菜廳 Man Ho Chinese Restaurant,赤鱲角香港大嶼山香港國際機場航天城東路1號香港天際萬豪酒店M樓,$201-400,西式,素食,34
天翔吧 Velocity Bar & Grill,赤鱲角香港國際機場航天城東路1號香港天際萬豪酒店M樓,$101-200,粵菜 (廣東),酒店餐廳,4
滿堂紅頂級雞煲火鍋 Mantanghong Supreme Hotpot,油麻地上海街375-379號明新大廈1樓及2樓全層地下5-7號舖,$101-200,美國菜,酒吧,55
滿堂紅雞煲烤魚特式火鍋,深水埗青山道29-33號永勝大廈地下,$101-200,川菜 (四川),火鍋,40
孖啡 Double Cafe,旺角彌敦道577號高氏大樓4樓,$51-100,粵菜 (廣東),火鍋,294
Yadllie Plate,旺角西洋菜街1號兆萬中心11樓,$101-200,意大利菜,咖啡店,484
EAT ME Bar & Restaurant,旺角彌敦道560號譽發廣場5樓全層,$101-200,韓國菜,韓式炸雞,471
吃吧 Chiba,旺角彌敦道566-568號僑建大廈2樓2室,$101-200,多國菜,咖啡店,230
漁火海鮮刺身火鍋,銅鑼灣駱克道491-499號京都廣場8樓,$201-400,西式,酒吧,277
Rang Mahal Authentic Indian Cuisine,中環皇后大道中118號2樓,$101-200,粵菜 (廣東),火鍋,206
WIRED CAFE,尖沙咀彌敦道 118 -130號美麗華廣場二期低層地下B169 號舖,$101-200,印度菜,印度菜,137
The Americano,荔枝角長沙灣道883號億利工業中心1樓12室,$101-200,日本菜,甜品/糖水,134
FRITES Belgium on Tap,鰂魚涌太古坊英皇道979號濠豐大廈地下,$201-400,西式,咖啡店,76
