Name,Location,Price,Region,Style,Likes
LAB EAT Restaurant & Bar,尖沙咀金巴利道87-89號僑豐大厦地下1-2號舖,$201-400,西式,酒,432
Shine,尖沙咀北京道12A號太子集團中心6樓,$201-400,西式,海鮮,687
Yadllie Plate,旺角西洋菜街1號兆萬中心11樓,$101-200,西式,酒,484
漁獲浜燒 Toretore Hamayaki,銅鑼灣軒尼詩道525號澳門逸園中心18樓,$201-400,韓國菜,韓式炸雞,498
The Grill Room,銅鑼灣駱克道459-461號The L. Square 5樓,$201-400,日本菜,日本菜,508
Sky726,旺角彌敦道724-726號25樓,$201-400,西式,扒房,367
樂園 Happyland,尖沙咀北京道65-69號環球商業大廈2樓205-06室,$101-200,法國菜,甜品/糖水,571
Burgeroom,尖沙咀彌敦道132號美麗華廣場一期2 樓 207 號舖,$51-100,西式,樓上cafe,433
The Joomak,尖沙咀廣東道3-27號海港城海運大廈3樓LCX 34號舖,$101-200,美國菜,漢堡包,467
The Hwaduk,銅鑼灣開平道1號Cubus 21樓,$101-200,韓國菜,沙律,447
和匠日式燒肉店 Wa Shou Yakiniku,佐敦長樂街23-27號德威大廈地下3號舖,$201-400,韓國菜,韓式炸雞,481
嵐山日本料理 Arashiyama Japanese Restaurant,尖沙咀棉登徑11號地舖,$201-400,日本菜,烤肉,339
Doux,旺角彌敦道726號18樓全層,$101-200,日本菜,壽司/刺身,380
Running 燒 Running BBQ,旺角彌敦道726號9樓,$201-400,多國菜,甜品/糖水,388
Plato Cafe & Bistro,油麻地彌敦道483-485號2樓,$101-200,日本菜,爐端燒,407
一起果醬 Let's Jam,尖沙咀松山道15-17號地下D舖,$101-200,西式,甜品/糖水,405
肚餓了串燒烤焗專門店 Hungry Bird,尖沙咀亞士厘道17-19號6樓,$101-200,西式,甜品/糖水,449
Ocio,旺角煙廠街33號朗廷軒地下B舖,$101-200,港式,海鮮,431
街坊Cafe Kaifong Cafe,"旺角通菜街1號威達商業大厦地下1E,F& H號舖",$51-100,多國菜,甜品/糖水,409
Dodam Chicken,銅鑼灣波斯富街99號利舞臺廣場18樓A號舖,$101-200,港式,甜品/糖水,398
殿 大喜屋日本料理 TONO DAIKIYA Japanese Restaurant,尖沙咀金巴利道26號1樓,$201-400,韓國菜,韓式炸雞,326
Diletto,尖沙咀漆咸道南11-15號余仁生中心1樓,$201-400,日本菜,壽司/刺身,298
神戶屋日韓放題 Kobe Fusion Restaurant,旺角西洋菜街1號兆萬中心8樓,$201-400,意大利菜,扒房,547
吞POT 雞煲火鍋.住家菜 Lazy Pot,旺角彌敦道726號23樓,$101-200,韓國菜,壽司/刺身,304
串酒里 KEBABEER,尖沙咀山林道6號B舖 (漢國中心對面),$201-400,港式,火鍋,358
OPPA韓國燒肉店 OPPA Korean Restaurant,旺角洗衣街117號建煌華廈地下,$101-200,日本菜,烤肉,300
孖啡 Double Cafe,旺角彌敦道577號高氏大樓4樓,$51-100,韓國菜,海鮮,294
