米走雞Deluxe Running Chicken Deluxe,銅鑼灣渣甸街50號渣甸中心3樓全層,$101-200,港式,小食店,250
勝香園 Sing Heung Yuen,中環美輪街2號排檔,$50以下,港式,火鍋,950
滾得囍宮廷火鍋小炒 Big Boils Club,北角馬寶道33號馬寶學林1樓116-125號舖,$201-400,港式,茶餐廳/冰室,225
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,銅鑼灣耀華街3號百樂中心8樓,$201-400,港式,火鍋,205
周記點心 Chau Kee,西環西營盤水街東利大厦地下H1號舖,$50以下,港式,火鍋,149
瑞記咖啡 Shui Kee Coffee,上環皇后大道中345號上環市政大廈2樓熟食中心17號舖,$50以下,港式,點心,245
聰嫂星級甜品 Cong Sao Star Dessert,銅鑼灣耀華街11號地舖,$50以下,港式,茶餐廳/冰室,184
新南苑私房菜火鍋鷄煲,灣仔盧押道18號海德中心2樓,$201-400,港式,甜品/糖水,134
百味鮮辣蟹專門店 Tasty and Seasonal Restaurant,西環石塘咀德輔道西434號均益大廈1期地下,$101-200,港式,火鍋,146
旺記冰室 Mon Kee Cafe,灣仔謝斐道142號建利大廈地舖,$50以下,港式,海鮮,108
低調高手大街小食 Master Low-key Food Shop,筲箕灣東大街76A號B3號舖地下,$50以下,港式,茶餐廳/冰室,212
華星冰室 Capital Café,灣仔克街6號廣生行大廈地下B1號舖,$50以下,港式,小食店,325
金記冰室 Kam Kee Cafe,灣仔天樂里6-18號恆安大廈地下D及E舖,$51-100,港式,茶餐廳/冰室,177
榮記粉麵 Wing Kee Noodle,銅鑼灣糖街27號A地下,$50以下,港式,茶餐廳/冰室,204
桻之燒,筲箕灣筲箕灣東大街55號地舖,$101-200,港式,火鍋,110
裕興咖啡 Yue Hing,中環士丹利街82號舖,$50以下,港式,海鮮,94
薈麵館 Congee n Noodle,灣仔皇后大道東183號合和中心7樓709號舖,$51-100,港式,大牌檔,118
金記冰室 Kam Kee Cafe,銅鑼灣霎東街5號地下,$51-100,港式,粉麵/米線,111
火鍋撚 Hot Pot Land,中環雲咸街46-48號雲明行3樓,$201-400,港式,茶餐廳/冰室,79
華記士多 Wah Kee Store,西灣河筲箕灣道48號地下3B號,$50以下,港式,火鍋,93
616牛肉火鍋專門店,西環皇后大道西384-386號三多大樓地下A號舖,$101-200,港式,茶餐廳/冰室,87
隆記茶室,北角和富道18號地舖,$50以下,港式,火鍋,90
三才魚蛋粉麵,銅鑼灣渣甸坊48號采怡閣地下6號舖,$50以下,港式,茶餐廳/冰室,74
安安燒 On On BBQ,筲箕灣南安街93號鯉景大廈地下A舖,$101-200,港式,粉麵/米線,138
海安咖啡室 Hoi On Cafe,上環干諾道西17號地下,$50以下,港式,海鮮,138
李好味 Lee Lo Mei,中環擺花街8號地下及1樓,$201-400,港式,茶餐廳/冰室,38
好日咖啡店 GoodDay Cafe,銅鑼灣希雲街12號地舖,$51-100,港式,中菜館,77
廉記冰室 Lim Kee Bing Sutt,灣仔春園街13號地下,$50以下,港式,三文治,89
源記甜品專家 Yuen Kee Dessert,西環西營盤正街32號地下,$50以下,港式,茶餐廳/冰室,347
東園酒家宴會廳 Tung Yuen Banquet,灣仔軒尼詩道71-85號熙華大廈地下及1樓,$51-100,港式,中式糖水,80
福元湯圓 Fook Yuen,北角炮台山福元街7號利都樓地下I-1舖,$50以下,港式,山珍海味,208
甜姨姨私房甜品 Auntie Sweet,天后清風街13號地下,$50以下,港式,甜品/糖水,183
祥發茶餐小廚,北角七姊妹道27D號地舖,$50以下,港式,甜品/糖水,76
頭啖湯 First Taste Soup,天后威菲路道15-19號萬順樓地舖,$101-200,港式,茶餐廳/冰室,78
龍城冰室 Dragon City Cafe,銅鑼灣謝斐道500號維安商業大廈地舖,$50以下,港式,火鍋,80
亞古鍋 Ragout Hotpot,銅鑼灣登龍街1-29號金朝陽中心2期Midtown 27樓,$201-400,港式,茶餐廳/冰室,69
安利魚蛋粉麵 On Lee Noodle,筲箕灣筲箕灣東大街22號,$50以下,港式,火鍋,136
樂香園咖啡室 Lok Heung Yuen Coffee Shop,中環機利文新街8-12號地下,$50以下,港式,粉麵/米線,97
筷子記 Chopsticks Kee,中環威靈頓街85-89號群英商業大廈A1號舖,$50以下,港式,茶餐廳/冰室,158
華嫂冰室 Mrs Tang Cafe,灣仔謝斐道272號杜智臺地下3-4號舖,$51-100,車仔麵,港式,42
孖沙茶餐廳 Ma Sa Restaurant,上環禧利街23號地下,$50以下,港式,三文治,96
旺記冰室 Mon Kee Cafe,鰂魚涌英皇道955-957號惠芳閣地下A號舖,$50以下,港式,粉麵/米線,61
四季常餐 Cafe Seasons,中環威靈頓街112-114號新威大廈地下C舖,$50以下,港式,中菜館,39
新記雞粥 Sun Kee Chicken Congee,筲箕灣筲箕灣道307號地下及1樓,$50以下,港式,茶餐廳/冰室,65
公利 Kung Lee,中環蘇豪荷李活道60號地下,$50以下,港式,粥品,298
Dim Sum Library,金鐘金鐘道88號太古廣場1樓124號舖,$101-200,港式,涼茶/龜苓膏,36
一樂燒鵝 Yat Lok Restaurant,中環士丹利街34-38號地舖,$50以下,港式,點心,79
Oddies,中環歌賦街45號地舖,$50以下,港式,粉麵/米線,69
炳記茶檔,大坑施弼街5號側,$50以下,港式,甜品/糖水,138
合和荳品,銅鑼灣霎東街4號地下,$50以下,港式,茶餐廳/冰室,58
喜喜冰室 Cafe Match Box,銅鑼灣Fashion Walk百德新街57號地下C&D號舖,$51-100,港式,中式糖水,35
忠記咖啡屋‧私房菜 Chung Kee Cafe,銅鑼灣渣甸街50號渣甸中心1樓,$50以下,港式,茶餐廳/冰室,60
人和荳品廠 Yan Wo Dou Bun Chong,銅鑼灣渣甸街55號,$50以下,港式,中菜館,77
金鳳茶餐廳 Kam Fung Restaurant,灣仔春園街41號春園大廈地下,$50以下,港式,甜品/糖水,257
樂農 Happy Veggies,灣仔軒尼詩道99號彰顯大廈1樓,$101-200,港式,茶餐廳/冰室,98
順興車仔麵大牌檔,大坑京街第一巷,$50以下,港式,素食,110
永樂園餐廳 Wing Lok Yuen Restaurant,中環昭隆街19 號地下,$50以下,港式,無肉餐單,194
嚐囍煲仔小菜,西環北街25號地下,$51-100,港式,茶餐廳/冰室,53
無肉食 Ahimsa Buffet,北角堡壘街10-16號華曦大廈地下B舖,$51-100,港式,港式,38
火鍋本色 Hotpot Instinct,西環堅尼地城卑路乍街144-148號金豪閣1樓,$201-400,港式,素食,65
新景園咖喱小廚 Sun King Yuen Curry Restaurant,灣仔春園街20號,$51-100,港式,火鍋,144
滾得棧 Hot in A Pot,天后電氣道80-86號成功樓地下C舖連閣樓,$201-400,港式,咖喱,80
丹麥餅店 Danish Bakery,銅鑼灣禮頓道106號禮信大廈地下,$50以下,港式,火鍋,182
榮式燒雞扒 Wing's Catering,灣仔蘭杜街2號麗都大廈7號地舖,$50以下,港式,麵包店,89
華姐清湯腩 Sister Wah,天后電氣道13號A地舖,$50以下,港式,茶餐廳/冰室,317
味口福,筲箕灣南康街17號天悦筲箕灣廣場地下低層1樓2號舖,$51-100,港式,粉麵/米線,40
東方素 Oriental Vegetarian,灣仔軒尼詩道239號3樓,$101-200,港式,漢堡包,46
我杯茶 My Cup Of Tea,灣仔春園街6號永興樓地下,$50以下,港式,素食,37
喜棧 Xi Zhan,銅鑼灣利園山道67號寶榮大廈地下F舖,$50以下,港式,小食店,54
水記 Shui Kee,中環吉士笠街2號牌檔,$50以下,港式,粉麵/米線,93
南記粉麵 Nam Kee Spring Roll Noodle Co. Ltd,銅鑼灣怡和街56-58號新基商業中心1-3樓,$50以下,港式,點心,170
波記燒臘粉麵店 Po Kee,西環皇后大道西425號P舖地舖,$50以下,港式,粉麵/米線,65
東湖小廚聯威餐廳 Luen Wai Restaurant,銅鑼灣渣甸街54-58號富盛商業大廈1樓,$51-100,港式,粉麵/米線,43
車仔麵之家 Car Noodle's Family,北角錦屏街後街21號東發大廈地下A號地舖,$50以下,港式,茶餐廳/冰室,39
南龍冰室 Nam Loong Cafe,銅鑼灣敬誠街1-3號地舖及1樓,$50以下,車仔麵,港式,71
金記客棧 Kam Kee Dining Room,薄扶林數碼港道100號數碼港商場地下110號舖,$51-100,港式,茶餐廳/冰室,94
聰嫂星級甜品 Cong Sao Star Dessert,灣仔大王東街21-23號地舖,$50以下,港式,茶餐廳/冰室,46
生記鮮魚湯米線 Vermicelli and fish soup specialist,上環禧利街10號地下,$50以下,港式,甜品/糖水,101
媽咪雞蛋仔 Mammy Pancake,銅鑼灣希雲街1-5號禮信大廈地下17號舖,$50以下,港式,粉麵/米線,49
蘭桂坊車仔麵 Lan Kwai Fong Cart Noodles,中環蘭桂坊6號地下,$50以下,港式,小食店,50
十字冰室 Cross Cafe,西環西營盤高街48-78號恆陞大樓地下12號舖,$50以下,車仔麵,港式,49
車仔麵之家 Car Noodle's Family,灣仔春園街32-38號榮利大廈地下6號舖,$50以下,港式,茶餐廳/冰室,33
倫哥火鍋私房菜,西環山道54-66號地下,$201-400,車仔麵,港式,24
鴻記極品雞蛋仔 Hung Kee Top Quality Egg Waffles,西灣河筲箕灣道57-87號太安樓第二街A34C號舖,$50以下,港式,火鍋,65
強記美食 Keung Kee,灣仔駱克道382號莊士企業大廈地下,$50以下,港式,扒房,123
榮記粉麵 Wing Kee Noodle,銅鑼灣渣甸街43號地下,$50以下,港式,小食店,97
星記海鮮飯店 Sing Kee Seafood Restaurant,中環擺花街1-7號1號廣場2樓,$201-400,港式,粉麵/米線,25
聚點坊點心專門店 Dim Sum Square,上環禧利街27號富輝商業中心地下,$51-100,港式,海鮮,36
漁川米線 Shunde Cuisine,灣仔太原街7號地下,$50以下,港式,點心,35
上品火鍋料理 Top Grade Hot Pot,天后清風街5-11號地下,$201-400,港式,粉麵/米線,89
蘭芳園 Lan Fong Yuen,中環結志街2號,$50以下,港式,火鍋,230
好燒味 Good BBQ,中環皇后大道中39號地下2號舖,$50以下,港式,粉麵/米線,50
澳門台山水佬榮火鍋專家 Soi Lou Weng Hot Pot Restaurant,銅鑼灣駱克道463-483號銅鑼灣廣場二期5樓,$201-400,港式,燒臘,36
科記咖啡餐室 For Kee Restaurant,上環荷李活道200號J-K舖,$50以下,港式,火鍋,81
江仔記粉麵專家,銅鑼灣堅拿道東2號地舖,$50以下,港式,茶餐廳/冰室,69
車仔麵之家 Car Noodle's Family,灣仔晏頓街1號A,$50以下,港式,中菜館,100
華星冰室 Capital Café,上環干諾道中168-200號信德中心3樓澳門廣場3018號舖,$50以下,車仔麵,港式,27
麥記美食,北角堡壘街21-23號美嘉洋樓地下,$50以下,港式,茶餐廳/冰室,67
民聲冰室,大坑浣紗街16號地下,$51-100,港式,火鍋,163
薔紅 Rose Kitchen,灣仔莊士敦道194-204號灣仔商業中心1樓,$101-200,港式,茶餐廳/冰室,51
上品火鍋料理 Top Grade Hot Pot,銅鑼灣告士打道229-230號宇宙商業大廈2/F,$201-400,港式,港式,42
貴德宮皇廷素宴 Veggie Palace,灣仔克街6號廣生行大廈B座閣樓,$201-400,港式,火鍋,46
紅磡冰室 Hunghom Cafe,北角炮台山英皇道165-171號公主大廈地舖,$51-100,港式,素食,38
新記車仔麵,銅鑼灣登龍街49號地下B舖,$50以下,港式,茶餐廳/冰室,97
樂心冰室 Glee Cafe,銅鑼灣渣甸街54-58號地下,$50以下,車仔麵,港式,53
兩草,銅鑼灣銅鑼灣道126號,$50以下,港式,甜品/糖水,16
棋哥燒鵝餐室 Ki’s Roasted Goose Restaurant,灣仔軒尼詩道423-425號嘉年華商業大廈地舖,$51-100,港式,馬來西亞菜,35
泗益,赤柱市場道2號,$50以下,港式,燒臘,119
有錢佬靚粥 Rolling in Congee,筲箕灣筲箕灣東大街54-60號東強大廈地下1號舖,$50以下,港式,茶餐廳/冰室,42
