肉餅哥小炒料理 Meat Pie Gor,311,荃灣聯仁街28號康睦庭園地下3號舖,$50以下,粵菜 (廣東),中菜館,(448 食評),13986,最優秀荃灣/葵青開飯熱店
18樓雞煲火鍋專門店,223.0,荃灣眾安街55號大鴻輝(荃灣)中心18樓,$101-200,粵菜 (廣東),火鍋,(246 食評),7792,
陳根記 Chan Kun Kee,259.0,沙田禾輋邨街市大牌檔3-5號,$51-100,粵菜 (廣東),大牌檔,(471 食評),17128,最優秀大埔/沙田開飯熱店
極品煮意 鷄煲.烤魚.火煱 Optimal Taste,152.0,葵芳盛芳街40號寬德大廈2樓,$101-200,粵菜 (廣東),火鍋,(172 食評),3025,送 25里數 / 30積分
阿爺粥品手工涮涮鍋 Grandpa's Porridge Shabu Shabu,164.0,荃灣沙咀道328號328廣埸地下5號舖,$201-400,粵菜 (廣東),火鍋,(226 食評),7060,送 25里數 / 30積分
肉餅哥小炒料理 Meat Pie Gor,172.0,大圍美田路30號美林邨熟食亭5-8號,$51-100,粵菜 (廣東),中菜館,(212 食評),2465,
心夜來潮,182.0,荃灣三陂坊30號地舖,$51-100,潮州菜,海鮮,(248 食評),7438,
沙田18 Sha Tin 18,164.0,沙田澤祥街18號沙田凱悅酒店4樓,$201-400,粵菜 (廣東),中菜館,(252 食評),7342,自選餐牌食品9折（星期一至四）
富臨薈 FL Fusion,114.0,沙田正街11-17號偉華中心2樓9A-9B舖,$101-200,粵菜 (廣東),中菜館,(151 食評),2340,
盛記盆菜&盛記麵家 Shing Kee Noodles,129.0,沙田瀝源熟食中心5號舖,$101-200,粵菜 (廣東),火鍋,(186 食評),9466,送 25里數 / 30積分
樂天皇朝 Paradise Dynasty,83.0,青衣青敬路33號青衣城3樓310B號舖,$101-200,粵菜 (廣東),中式包點,(110 食評),1672,
群記牛肉圓豬手 Kwan Kee Beef Balls & Pork Knuckles,254.0,粉嶺聯和墟聯昌街5號豐景樓地下,$50以下,粵菜 (廣東),粉麵/米線,(334 食評),5664,
鍋心粥底火鍋,48.0,大圍積存街14號地下,$101-200,粵菜 (廣東),火鍋,(61 食評),7358,
味苑,90.0,荃灣大壩街21-23號地下,$51-100,粵菜 (廣東),燒臘,(111 食評),1669,
同仁四季音樂主題餐廳 Colleague Music Restaurant,90.0,荃灣青山公路荃灣段388號中國染廠大廈中染新城1樓106號舖,$201-400,粵菜 (廣東),火鍋,(112 食評),1897,
百樂潮州酒樓 Pak Loh Chiu Chow Restaurant,64.0,元朗朗日路8號形點二期3樓A316號舖,$401-800,中菜館,潮州菜,(83 食評),1573,
