必勝客 Pizza Hut,Unnamed: 1,薄扶林置富南區廣場2樓美食嘉年華5號舖,$101-200,意大利菜,薄餅,(4 食評),21,Unnamed: 8
Pizza-Box,7.0,薄扶林般咸道73-87號地下9號舖,$51-100,意大利菜,薄餅,(20 食評),66,
必勝客 Pizza Hut,,薄扶林置富南區廣場2樓美食嘉年華5號舖,$101-200,意大利菜,薄餅,(4 食評),21,
法式餅店 Patisserie Les Amis,3.0,薄扶林數碼港道100號數碼港商場3樓320舖,$51-100,法國菜,麵包店,(6 食評),153,
Maison Eric Kayser,,薄扶林數碼港道100號數碼港零售服務中心1樓3號舖 Fusion 內,$51-100,法國菜,麵包店,,12,
一念素食 Bijas Vegetarian Restaurant,22.0,薄扶林香港大學百周年校園逸夫教學樓地下,$50以下,西式,素食,(34 食評),1601,
意樂餐廳 Cafe de Itamomo,11.0,薄扶林華富邨華富(一)商場2D號舖,$50以下,西式,西餐廳,(28 食評),99,
Prompt,27.0,薄扶林數碼港道100號數碼港艾美酒店4樓,$401-800,西式,自助餐,(70 食評),1025,8折
星巴克咖啡 Starbucks Coffee,8.0,薄扶林香港大學綜合大樓地下2號舖,$50以下,美國菜,沙律,(14 食評),83,
Delaney's,7.0,"薄扶林數碼港道100號數碼港商場314, 411, 501及601舖",$101-200,愛爾蘭菜,酒吧,(13 食評),321,
Délifrance,6.0,薄扶林香港大學百周年校園賽馬會教學樓地下B舖,$50以下,法國菜,麵包店,(12 食評),118,
Cafe 330,5.0,薄扶林香港大學莊月明文娛中心2樓203室(百佳對面),$50以下,西式,麵包店,(11 食評),199,
PSI,5.0,薄扶林數碼港道100號數碼港艾美酒店4樓,$50以下,西式,沙律,(7 食評),100,8折
西式訓練餐廳 Western Cuisine Training Restaurant,2.0,薄扶林薄扶林道145號職業訓練局薄扶林大樓6樓,$51-100,西式,咪嘥嘢食店,(5 食評),73,
星巴克咖啡 Starbucks Coffee,25.0,薄扶林香港大學圖書館大樓舊翼,$50以下,美國菜,沙律,(48 食評),81,
麥當勞 McDonald's,6.0,薄扶林數碼港數碼港道100號 The Annex 地下1-2號舖,$50以下,美國菜,漢堡包,(11 食評),38,
星巴克咖啡 Starbucks Coffee,5.0,薄扶林數碼港三座訊科技大道4樓大堂,$50以下,美國菜,沙律,(11 食評),41,
港大山景餐廳 HKU Hill View Restaurant,1.0,薄扶林薄扶林道109號賽馬會第二舍堂村孫志新堂地舖,$50以下,西式,快餐店,(2 食評),54,
Recharge Cafe,1.0,薄扶林數碼港二座4樓,$51-100,西式,咖啡店,(1 食評),91,
Mr. Pizza,6.0,薄扶林般咸道73-83號景輝大廈地下10號舖,$51-100,意大利菜,薄餅,(10 食評),58,
Subway,2.0,薄扶林香港大學百周年校園逸夫教學樓,$50以下,西式,三文治,(3 食評),60,
太平洋咖啡 Pacific Coffee Company,,薄扶林薄扶林道香港大學太古樓地下國際交流中心,$50以下,美國菜,沙律,(3 食評),28,
麥當勞 McDonald's,4.0,薄扶林置富南區廣場4樓426-432號舖,$50以下,美國菜,漢堡包,(7 食評),18,
愛烘焙麵包工房 iBakery,,薄扶林香港大學百周年校園逸夫教學樓,$50以下,西式,麵包店,(1 食評),39,
東海堂 Arome Bakery,1.0,薄扶林置富南區廣場4樓418號舖,$50以下,西式,麵包店,(3 食評),8,
Snack Shack,1.0,薄扶林數碼港道100號數碼港商場4樓416號舖,$50以下,西式,雪糕/乳酪,(1 食評),22,
太平洋咖啡 Pacific Coffee Company,,薄扶林薄扶林道102號瑪麗醫院正座地下,$50以下,美國菜,沙律,,4,
McCafe,,薄扶林數碼港數碼港道100號 The Annex 地下1-2號舖,$50以下,美國菜,麵包店,,1,
星巴克咖啡 Starbucks Coffee,,薄扶林數碼港數碼港道100號資訊道3樓316號舖,$50以下,美國菜,沙律,,6,
快樂牛雪糕專門店 Happy Cow Ice Cream,,薄扶林香港大學綜合大樓地下2號舖,$50以下,西式,雪糕/乳酪,,72,
Eski Mo's Frozen Yogurt,,薄扶林數碼港道100號數碼港商場4樓416舖,$50以下,西式,甜品/糖水,,20,
Whirlwind Bakery,,薄扶林薄扶林道14號地下,$50以下,西式,麵包店,,4,
Stanley Ho Sports Centre Kiosk,,薄扶林沙灣徑10號何鴻燊體育中心,$50以下,西式,快餐店,,5,
Lindsay Ride Sports Centre Kiosk,,薄扶林薄扶林道111-113號賴廉士體育中心,$50以下,西式,快餐店,,2,
Mangrove Tuck Shop,,薄扶林香港大學圖書館大樓,$50以下,西式,快餐店,,7,
