LAB EAT Restaurant & Bar,尖沙咀金巴利道87-89號僑豐大厦地下1-2號舖,$201-400,西式,海鮮,436,(565 食評),50744,網上訂座可享75折優惠
Shine,尖沙咀北京道12A號太子集團中心6樓,$201-400,西式,酒,693,(777 食評),21136,送 25里數 / 30積分
Yadllie Plate,旺角西洋菜街1號兆萬中心11樓,$101-200,韓國菜,韓式炸雞,487,(630 食評),27681,早鳥及消夜時段訂座 可享全單八折優惠
漁獲浜燒 Toretore Hamayaki,銅鑼灣軒尼詩道525號澳門逸園中心18樓,$201-400,日本菜,日本菜,503,(524 食評),19647,送 25里數 / 30積分
心之食堂 Love Cafe,銅鑼灣耀華街3號百樂中心12樓1203室,$201-400,日本菜,壽司/刺身,490,(545 食評),6580,全單85折
The Grill Room,銅鑼灣駱克道459-461號The L. Square 5樓,$201-400,西式,扒房,508,(662 食評),32342,網上訂座八折優惠-商務二人或四人套餐
Sky726,旺角彌敦道724-726號25樓,$201-400,法國菜,甜品/糖水,369,(496 食評),38563,自選餐牌主菜買一送一優惠 或 甜品8折優惠； 飲品一律8折
Burgeroom,尖沙咀彌敦道132號美麗華廣場一期2 樓 207 號舖,$51-100,美國菜,漢堡包,437,(511 食評),13841,送 25里數 / 30積分
樂園 Happyland,尖沙咀北京道65-69號環球商業大廈2樓205-06室,$101-200,西式,樓上cafe,574,(637 食評),10097,送 25里數 / 30積分
The Hwaduk,銅鑼灣開平道1號Cubus 21樓,$101-200,韓國菜,韓式炸雞,450,(498 食評),16542,送 25里數 / 30積分
The Joomak,尖沙咀廣東道3-27號海港城海運大廈3樓LCX 34號舖,$101-200,韓國菜,沙律,470,(629 食評),21527,送 25里數 / 30積分
和匠日式燒肉店 Wa Shou Yakiniku,佐敦長樂街23-27號德威大廈地下3號舖,$201-400,日本菜,烤肉,484,(537 食評),13021,送 25里數 / 30積分
嵐山日本料理 Arashiyama Japanese Restaurant,尖沙咀棉登徑11號地舖,$201-400,日本菜,壽司/刺身,341,(382 食評),15121,送 25里數 / 30積分
Doux,旺角彌敦道726號18樓全層,$101-200,多國菜,甜品/糖水,380,(473 食評),17162,正價75折 主菜餐牌 訂座享主主菜75折
Plato Cafe & Bistro,油麻地彌敦道483-485號2樓,$101-200,西式,甜品/糖水,409,(506 食評),22898,訂座可贈送小食
鳥居居酒屋 tori izakaya,銅鑼灣軒尼詩道525號澳門逸園中心17樓,$201-400,日本菜,爐端燒,414,(473 食評),14163,送 25里數 / 30積分
一起果醬 Let's Jam,尖沙咀松山道15-17號地下D舖,$101-200,西式,甜品/糖水,407,(475 食評),12469,送 25里數 / 30積分
街坊Cafe Kaifong Cafe,"旺角通菜街1號威達商業大厦地下1E,F& H號舖",$51-100,港式,甜品/糖水,415,(519 食評),25489,主餐牌5折及飲品5折（龍蝦類除外）
Amour Corner,旺角砵蘭街106號地下,$101-200,西式,扒房,375,(474 食評),15523,提供網上訂座
Ocio,旺角煙廠街33號朗廷軒地下B舖,$101-200,多國菜,甜品/糖水,432,(614 食評),18294,送 25里數 / 30積分
Dodam Chicken,銅鑼灣波斯富街99號利舞臺廣場18樓A號舖,$101-200,韓國菜,韓式炸雞,407,(470 食評),12100,送 25里數 / 30積分
殿 大喜屋日本料理 TONO DAIKIYA Japanese Restaurant,尖沙咀金巴利道26號1樓,$201-400,日本菜,壽司/刺身,337,(470 食評),34155,特選時段 85 折優惠！晚市19：30前離座及21：15後入座享有，不得與其他優惠並用，加一以原價計算
Diletto,尖沙咀漆咸道南11-15號余仁生中心1樓,$201-400,意大利菜,扒房,301,(402 食評),20501,送 25里數 / 30積分
深宵食堂,銅鑼灣耀華街百樂中心6樓,$201-400,日本菜,串燒,381,(429 食評),11037,提供網上訂座
