name,location,price,country,style,likes,review,bookmark,discount_info
LAB EAT Restaurant & Bar,436,尖沙咀金巴利道87-89號僑豐大厦地下1-2號舖,$201-400,西式,海鮮,(565 食評),50664,網上訂座可享75折優惠
Shine,692,尖沙咀北京道12A號太子集團中心6樓,$201-400,西式,酒,(776 食評),21069,送 25里數 / 30積分
Espuma,610,尖沙咀厚福街8號H8 2樓,$101-200,西班牙菜,甜品/糖水,(949 食評),40374,送 25里數 / 30積分
The Captain's House,511,尖沙咀厚福街8號H8 18樓,$201-400,西式,海鮮,(634 食評),33139,送 25里數 / 30積分
Yadllie Plate,487,旺角西洋菜街1號兆萬中心11樓,$101-200,韓國菜,韓式炸雞,(630 食評),27542,早鳥及消夜時段訂座 可享全單八折優惠
Day and Nite by Master Kama,462,旺角山東街50號1-2樓,$101-200,日本菜,海鮮,(595 食評),28151,送 25里數 / 30積分
漁獲浜燒 Toretore Hamayaki,503,銅鑼灣軒尼詩道525號澳門逸園中心18樓,$201-400,日本菜,日本菜,(524 食評),19622,送 25里數 / 30積分
The Grill Room,508,銅鑼灣駱克道459-461號The L. Square 5樓,$201-400,西式,扒房,(662 食評),32287,訂座驚喜星期六及日: 套餐$238起-全日酒精飲品Happy Hour 價錢
心之食堂 Love Cafe,487,銅鑼灣耀華街3號百樂中心12樓1203室,$201-400,日本菜,壽司/刺身,(542 食評),6551,送 25里數 / 30積分
Sky726,367,旺角彌敦道724-726號25樓,$201-400,法國菜,甜品/糖水,(494 食評),38441,自選餐牌主菜買一送一優惠 或 甜品8折優惠； 飲品一律8折
Burgeroom,437,尖沙咀彌敦道132號美麗華廣場一期2 樓 207 號舖,$51-100,美國菜,漢堡包,(511 食評),13781,送 25里數 / 30積分
樂園 Happyland,572,尖沙咀北京道65-69號環球商業大廈2樓205-06室,$101-200,西式,樓上cafe,(635 食評),10078,送 25里數 / 30積分
極尚大喜屋日本料理 Deluxe Daikiya Japanese Restaurant,384,尖沙咀加連威老道2-6號愛賓商業大廈後座1樓102號舖,$201-400,日本菜,日式放題,(507 食評),48390,特選時段 85 折優惠！該優惠不得與其他優惠共用，適用於晚市19：30前離座及21：15後入座，加一原價計算
The Hwaduk,450,銅鑼灣開平道1號Cubus 21樓,$101-200,韓國菜,韓式炸雞,(498 食評),16523,送 25里數 / 30積分
Cafe Paradise,383,太子界限街23號地下C舖,$51-100,意大利菜,甜品/糖水,(473 食評),25254,送 25里數 / 30積分
Espuma,557,中環威靈頓街2-8號威靈頓廣場M88 17樓,$101-200,西班牙菜,甜品/糖水,(690 食評),20889,送 25里數 / 30積分
和匠日式燒肉店 Wa Shou Yakiniku,484,佐敦長樂街23-27號德威大廈地下3號舖,$201-400,日本菜,烤肉,(537 食評),13005,送 25里數 / 30積分
嵐山日本料理 Arashiyama Japanese Restaurant,341,尖沙咀棉登徑11號地舖,$201-400,日本菜,壽司/刺身,(382 食評),15078,送 25里數 / 30積分
Doux,380,旺角彌敦道726號18樓全層,$101-200,多國菜,甜品/糖水,(473 食評),17124,送 25里數 / 30積分
Running 燒 Running BBQ,388,旺角彌敦道726號9樓,$201-400,韓國菜,自助餐,(445 食評),22716,7折優惠（21:30後入座）
彌敦左岸 Nathan Left,387,尖沙咀赫德道5-9號德裕中心B1層,$201-400,西式,海鮮,(417 食評),11192,送 25里數 / 30積分
Plato Cafe & Bistro,408,油麻地彌敦道483-485號2樓,$101-200,西式,甜品/糖水,(503 食評),22837,訂座可贈送小食
鳥居居酒屋 tori izakaya,412,銅鑼灣軒尼詩道525號澳門逸園中心17樓,$201-400,日本菜,爐端燒,(471 食評),14137,送 25里數 / 30積分
鮮入圍煮 Market Hotpot,218,旺角登打士街43H號登打士廣場2樓,$201-400,粵菜 (廣東),火鍋,(302 食評),42037,送 25里數 / 30積分
一起果醬 Let's Jam,407,尖沙咀松山道15-17號地下D舖,$101-200,西式,甜品/糖水,(475 食評),12445,送 25里數 / 30積分
肚餓了串燒烤焗專門店 Hungry Bird,451,尖沙咀亞士厘道17-19號6樓,$101-200,港式,海鮮,(562 食評),19725,送 25里數 / 30積分
街坊Cafe Kaifong Cafe,414,"旺角通菜街1號威達商業大厦地下1E,F& H號舖",$51-100,港式,甜品/糖水,(518 食評),25435,送 25里數 / 30積分
Ocio,432,旺角煙廠街33號朗廷軒地下B舖,$101-200,多國菜,甜品/糖水,(614 食評),18276,送 25里數 / 30積分
殿 大喜屋日本料理 TONO DAIKIYA Japanese Restaurant,331,尖沙咀金巴利道26號1樓,$201-400,日本菜,壽司/刺身,(463 食評),34008,特選時段 85 折優惠！晚市19：30前離座及21：15後入座享有，不得與其他優惠並用，加一以原價計算
新泰東南亞餐廳 Sun Thai Restaurant,365,灣仔軒尼詩道314-324號 W Square 2樓,$101-200,泰國菜,咖喱,(441 食評),15051,送 25里數 / 30積分
Diletto,301,尖沙咀漆咸道南11-15號余仁生中心1樓,$201-400,意大利菜,扒房,(402 食評),20427,送 25里數 / 30積分
大本瀛日式放題 DaBen Ei Japanese Restaurant,489,旺角西洋菜街1號兆萬中心10樓,$201-400,日本菜,日式放題,(560 食評),13481,訂座即送即開生蠔/海膽/特色雪糕(三選一)
Seoulmate Cafe,342,銅鑼灣駱克道491-499號京都廣場4樓,$101-200,韓國菜,甜品/糖水,(439 食評),18863,送 25里數 / 30積分
吞POT 雞煲火鍋.住家菜 Lazy Pot,305,旺角彌敦道726號23樓,$101-200,港式,火鍋,(336 食評),14257,所有火鍋配料及小食半價
神戶屋日韓放題 Kobe Fusion Restaurant,547,旺角西洋菜街1號兆萬中心8樓,$201-400,韓國菜,壽司/刺身,(672 食評),16764,送 25里數 / 30積分
