,remark,price,title,flavour,environment,service
0,"2971
条点评","人均
            ￥95",大龙燚火锅(太古里店),口味9.0,环境9.0,服务9.0
1,"5933
条点评","人均
            ￥98",小龙坎老火锅(春熙店),口味8.9,环境9.0,服务8.6
2,"265
条点评","人均
            ￥69",如在蜀老火锅(春熙店),口味9.0,环境9.1,服务9.1
3,"6940
条点评","人均
            ￥102",老码头火锅(春熙店),口味8.9,环境9.0,服务9.1
4,"8374
条点评","人均
            ￥98",小龙坎老火锅(春熙概念店),口味8.8,环境8.8,服务8.2
5,"5143
条点评","人均
            ￥95",蜀大侠火锅(春熙店),口味8.9,环境8.9,服务8.3
6,"370
条点评","人均
            ￥80",禄合門(太古里店),口味9.1,环境9.2,服务9.1
7,"3782
条点评","人均
            ￥98",蜀大侠火锅(总府路店),口味8.9,环境8.9,服务8.4
8,"747
条点评","人均
            ￥81",春熙里老火锅(春熙概念店),口味9.0,环境9.1,服务9.1
9,"384
条点评","人均
            ￥78",想吃蛙(盐市口旗舰店),口味9.1,环境9.3,服务9.2
10,"773
条点评","人均
            ￥292",8号(成都群光君悦酒店),口味8.8,环境9.3,服务9.0
11,"1924
条点评","人均
            ￥94",烤匠麻辣烤鱼(IFS店),口味8.8,环境8.9,服务8.5
12,"678
条点评","人均
            ￥80",蜀仙里火锅(太古里店),口味8.7,环境9.2,服务9.0
13,"3856
条点评","人均
            ￥83",重庆袁老四老火锅(东大街店),口味8.5,环境9.0,服务8.2
14,"657
条点评","人均
            ￥83",大院火老火锅(春熙路店),口味8.9,环境9.1,服务9.1
15,"1512
条点评","人均
            ￥81",蜀韵蜀味火锅(春熙店),口味8.6,环境9.1,服务8.9
16,"484
条点评","人均
            ￥67",华兴九号辣铺(春熙总店),口味8.6,环境9.2,服务9.0
17,"1262
条点评","人均
            ￥78",凤望龙门老火锅(盐市口概念店),口味9.0,环境9.0,服务8.6
18,"687
条点评","人均
            ￥112",大侠行江湖火锅(春熙店),口味8.7,环境9.3,服务9.0
19,"673
条点评","人均
            ￥87",月满大江火锅(总府路店),口味9.0,环境9.1,服务8.9
20,"1459
条点评","人均
            ￥95",蜀小匠牛排火锅(春熙路总店),口味8.1,环境7.5,服务8.3
21,"268
条点评","人均
            ￥96",鲜炎·炭火火锅,口味8.1,环境8.7,服务8.2
22,"3427
条点评","人均
            ￥85",凤望龙门老火锅(春熙店),口味8.6,环境8.6,服务8.6
23,"1396
条点评","人均
            ￥69",有拈头成都市井火锅(太古里店),口味7.9,环境8.0,服务7.7
24,"1254
条点评","人均
            ￥75",码头故事火锅(春熙路店),口味8.8,环境9.1,服务8.9
25,"2132
条点评","人均
            ￥90",春熙里老火锅(春熙总店),口味8.5,环境9.0,服务8.6
26,"1179
条点评","人均
            ￥78",重庆袁老四老火锅(香槟店),口味8.3,环境8.5,服务7.8
27,"69
条点评","人均
            ￥59",大蜀龙门火锅(红星路二段总店),口味7.8,环境8.6,服务8.2
28,"1240
条点评","人均
            ￥86",醉码头火锅(春熙路店),口味8.7,环境9.1,服务8.6
29,"280
条点评","人均
            ￥127",大妙火锅(太古里店),口味8.4,环境9.1,服务8.4
30,"3321
条点评","人均
            ￥89",巴蜀大将火锅(春熙店),口味8.4,环境8.8,服务8.5
31,"864
条点评","人均
            ￥76",塘门英雄·美蛙鱼头火锅(春熙路店),口味8.7,环境9.0,服务8.8
32,"1
条点评","人均
          -",谭二师路边麻辣烫,口味7.6,环境7.6,服务7.6
33,"706
条点评","人均
            ￥79",龙门飞鱼美蛙鱼头火锅(春熙店),口味8.7,环境8.9,服务8.8
34,"2532
条点评","人均
            ￥83",重庆袁老四老火锅(东升店),口味8.3,环境8.3,服务7.8
35,"1627
条点评","人均
            ￥78",野兽花园重庆火锅(太古里店),口味8.0,环境8.8,服务8.0
