Place,Mag,Time
"4km NNE of Buli, Taiwan",4.6,2018-08-18 00:15:17
"3km NW of Buli, Taiwan",4.5,2018-08-17 10:09:41
"34km ENE of Hengchun, Taiwan",4.1,2018-08-05 04:09:31
"7km ESE of Douliu, Taiwan",4.2,2018-08-02 13:38:18
"28km NNE of Taitung, Taiwan",3.4,2018-07-13 20:42:35
"40km NNE of Taitung City, Taiwan",4.6,2018-07-13 18:38:40
"7km SE of Jiayi Shi, Taiwan",2.7,2018-07-12 13:00:55
"13km NNE of Tainan, Taiwan",2.6,2018-07-11 21:05:36
"12km W of Yujing, Taiwan",4.3,2018-07-11 12:41:51
"43km NNW of Taitung, Taiwan",4.3,2018-07-10 13:58:22
"36km NNE of Taitung City, Taiwan",4.1,2018-07-03 20:10:16
"49km ENE of Yujing, Taiwan",4.6,2018-07-03 09:20:57
"4km SW of Jiayi Shi, Taiwan",4.2,2018-07-02 07:26:09
"27km NNE of Taitung, Taiwan",4.3,2018-06-27 15:26:40
"5km NNE of Su'ao, Taiwan",4.7,2018-06-15 20:53:54
"20km ESE of Hualian, Taiwan",4.7,2018-06-11 20:52:28
"11km ENE of Hualian, Taiwan",4.5,2018-06-11 15:42:06
"13km S of Douliu, Taiwan",3.1,2018-06-10 08:18:20
"76km SSE of Taitung City, Taiwan",4.3,2018-06-06 21:19:08
"15km SE of Buli, Taiwan",4.2,2018-06-02 02:01:11
"8km WSW of Hualian, Taiwan",4.1,2018-06-01 17:43:25
"17km NE of Taitung City, Taiwan",4.6,2018-05-31 01:03:18
"20km SSE of Hualian, Taiwan",4.5,2018-05-12 04:17:46
"51km S of Taitung City, Taiwan",4.1,2018-04-29 07:02:36
"36km SSW of Taitung City, Taiwan",4.5,2018-04-27 05:55:53
"63km ENE of Taitung City, Taiwan",4.2,2018-04-21 10:56:54
"5km S of Jiayi Shi, Taiwan",3.5,2018-04-17 20:02:29
"40km NE of Taitung City, Taiwan",4.6,2018-04-16 13:48:58
"51km E of Taitung City, Taiwan",4.6,2018-04-11 07:39:29
"14km ENE of Lugu, Taiwan",4.4,2018-04-01 16:02:04
"10km NE of Buli, Taiwan",4.8,2018-03-29 00:17:50
"20km NE of Yujing, Taiwan",4.9,2018-03-20 09:22:56
"29km ENE of Hualian, Taiwan",4.4,2018-03-14 10:48:43
"9km NNE of Su'ao, Taiwan",4.4,2018-03-06 09:42:09
"107km E of Hengchun, Taiwan",4.4,2018-03-04 06:32:20
"27km NNE of Hualian, Taiwan",4.6,2018-03-03 17:35:51
"60km S of Hualian, Taiwan",5,2018-02-21 23:10:40
"22km W of Su'ao, Taiwan",5,2018-02-19 14:47:01
"34km SE of Taitung City, Taiwan",4.3,2018-02-17 09:06:34
"28km ENE of Hualian, Taiwan",4.6,2018-02-14 18:27:31
"13km S of Hualian, Taiwan",4.5,2018-02-11 07:39:07
"34km NE of Hualian, Taiwan",4.2,2018-02-10 07:48:49
"22km ENE of Hualian, Taiwan",4.5,2018-02-09 18:43:09
"8km SE of Hualian, Taiwan",4.7,2018-02-09 02:14:01
"8km SE of Hualian, Taiwan",4.7,2018-02-08 03:06:03
"3km SSW of Hualian, Taiwan",4.5,2018-02-08 00:59:28
"10km SE of Hualian, Taiwan",4.8,2018-02-08 00:54:16
"28km ENE of Hualian, Taiwan",4.4,2018-02-07 15:56:04
"17km NE of Hualian, Taiwan",5.7,2018-02-07 15:21:31
"14km ESE of Hualian, Taiwan",4.6,2018-02-07 14:19:20
"18km ENE of Hualian, Taiwan",4.8,2018-02-07 13:06:41
"12km E of Hualian, Taiwan",4.8,2018-02-07 11:13:06
"25km NE of Hualian, Taiwan",4.1,2018-02-07 10:19:46
"16km ENE of Hualian, Taiwan",4.8,2018-02-07 03:36:18
"15km ENE of Hualian, Taiwan",4.8,2018-02-07 02:18:02
"7km E of Hualian, Taiwan",4.7,2018-02-06 23:43:51
"1km S of Hualian, Taiwan",4.6,2018-02-06 23:24:08
"13km NE of Hualian, Taiwan",4.8,2018-02-06 23:11:43
"4km SSE of Hualian, Taiwan",4.2,2018-02-06 21:02:49
"16km ENE of Hualian, Taiwan",4.7,2018-02-06 20:56:22
"18km ESE of Hualian, Taiwan",4.9,2018-02-06 19:36:35
"15km E of Hualian, Taiwan",5.4,2018-02-06 19:15:29
"18km ENE of Hualian, Taiwan",5.2,2018-02-06 18:07:38
"22km NE of Hualian, Taiwan",5.2,2018-02-06 18:00:12
"7km ESE of Hualian, Taiwan",4.5,2018-02-06 16:26:44
"8km SE of Hualian, Taiwan",5.1,2018-02-06 16:17:57
"14km N of Hualian, Taiwan",4.4,2018-02-06 15:59:20
"18km NNE of Hualian, Taiwan",6.4,2018-02-06 15:50:43
"18km ENE of Hualian, Taiwan",4.6,2018-02-06 08:36:49
"23km NNE of Hualian, Taiwan",4.8,2018-02-06 05:09:14
"19km NE of Hualian, Taiwan",3.9,2018-02-06 00:35:10
"30km ENE of Hualian, Taiwan",4.4,2018-02-05 17:37:12
"20km NE of Hualian, Taiwan",4.8,2018-02-05 15:58:41
"24km NE of Hualian, Taiwan",4.7,2018-02-05 09:06:44
"32km NE of Hualian, Taiwan",4.5,2018-02-04 16:54:22
"29km NE of Hualian, Taiwan",4.6,2018-02-04 15:33:46
