Thor: Ragnarok,8.0,130 min
Wonder Woman,7.5,141 min
Guardians of the Galaxy Vol. 2,7.7,136 min
Logan,8.1,137 min
Despicable Me 3,6.3,89 min
Pirates of the Caribbean: Dead Men Tell No Tales,6.7,129 min
Justice League,6.9,120 min
Star Wars: Episode VIII - The Last Jedi,7.5,152 min
Kong: Skull Island,6.7,118 min
War for the Planet of the Apes,7.5,140 min
Ghost in the Shell,6.4,107 min
Spider-Man: Homecoming,7.5,133 min
The LEGO Batman Movie,7.3,104 min
Beauty and the Beast,7.3,129 min
Smurfs: The Lost Village,5.9,90 min
The Fate of the Furious,6.7,136 min
Fifty Shades Darker,4.6,118 min
Pitch Perfect 3,6.2,93 min
Transformers: The Last Knight,5.2,154 min
Power Rangers,6.0,124 min
The Mummy,5.5,110 min
Paddington 2,8.2,104 min
Alien: Covenant,6.5,122 min
Kingsman: The Golden Circle,6.9,141 min
The Emoji Movie,3.0,86 min
xXx: Return of Xander Cage,5.2,107 min
Jumanji: Welcome to the Jungle,7.2,119 min
Baywatch,5.6,116 min
It,7.5,135 min
Blade Runner 2049,8.2,164 min
John Wick: Chapter 2,7.5,122 min
Fist Fight,5.6,91 min
The Nut Job 2: Nutty by Nature,5.2,91 min
Coco,8.6,105 min
Annabelle: Creation,6.6,109 min
Rough Night,5.2,101 min
The Hitman's Bodyguard,6.9,118 min
Valerian and the City of a Thousand Planets,6.5,137 min
Jigsaw,5.9,92 min
The LEGO Ninjago Movie,6.0,101 min
Rings,4.5,102 min
Father Figures,4.9,113 min
The Space Between Us,6.4,120 min
Going in Style,6.6,96 min
Life,6.6,104 min
Surf's Up 2: WaveMania,4.6,84 min
The Discovery,6.3,102 min
Geostorm,5.4,109 min
The Circle,5.3,110 min
King Arthur: Legend of the Sword,6.8,126 min
Daddy's Home 2,6.0,100 min
A Bad Moms Christmas,5.5,104 min
Atomic Blonde,6.7,115 min
Dunkirk,8.1,106 min
Baby Driver,7.7,112 min
Girls Trip,6.3,122 min
The Dark Tower,5.7,95 min
Get Out,7.7,104 min
Snatched,4.4,90 min
The Boss Baby,6.4,97 min
9/11,4.0,90 min
The Snowman,5.1,119 min
CHIPS,6.0,100 min
Once Upon a Time in Venice,5.2,94 min
Molly's Game,7.6,140 min
Mother!,6.7,121 min
Shot Caller,7.4,121 min
Megan Leavey,7.1,116 min
Logan Lucky,7.1,118 min
Unlocked,6.2,98 min
All Eyez on Me,5.8,139 min
A Ghost Story,6.9,92 min
American Made,7.2,115 min
47 Meters Down,5.7,89 min
2:22,5.7,98 min
Good Time,7.4,101 min
Rememory,6.2,111 min
Ferdinand,6.7,108 min
Jungle,6.7,115 min
Ingrid Goes West,6.7,98 min
Wind River,7.8,107 min
Happy Death Day,6.5,96 min
Flatliners,5.2,109 min
The Disaster Artist,7.7,104 min
American Assassin,6.2,112 min
The Man Who Invented Christmas,7.1,104 min
The Foreigner,7.1,113 min
Bright,6.5,117 min
Bon Cop Bad Cop 2,6.7,126 min
The Mountain Between Us,6.4,112 min
Unforgettable,5.0,100 min
HHhH,6.4,120 min
"I, Tonya",7.6,120 min
Last Flag Flying,6.9,125 min
Marshall,7.2,118 min
All the Money in the World,7.1,132 min
The Vault,4.8,91 min
Bullet Head,5.2,93 min
Goodbye Christopher Robin,7.1,107 min
November Criminals,5.2,85 min
