LAB EAT Restaurant & Bar,尖沙咀,$201-400,西式,海鮮,367,
CHEF STAGE de Eddy Chu,尖沙咀,$401-800,西式,酒,558,
The Captain's House,尖沙咀,$201-400,西式,海鮮,377,
Espuma,尖沙咀,$101-200,西班牙菜,甜品/糖水,465,
The Grill Room,銅鑼灣,$201-400,西式,扒房,470,
漁獲?燒 Toretore Hamayaki,銅鑼灣,$201-400,日本菜,日本菜,417,
The Hwaduk,銅鑼灣,$101-200,韓國菜,韓式炸雞,386,
西餐大排檔 Tai Pai Tong Hong Kong,銅鑼灣,$201-400,西式,海鮮,527,
Shine,尖沙咀,$201-400,西式,酒,443,
和匠日式燒肉店 Wa Shou Yakiniku,佐敦,$201-400,日本菜,烤肉,409,
鮮入圍煮 Market Hotpot,旺角,$201-400,粵菜 (廣東),火鍋,196,
Sky726,旺角,$201-400,法國菜,甜品/糖水,289,
Cafe Paradise,太子,$51-100,意大利菜,甜品/糖水,310,
Espuma,中環,$101-200,西班牙菜,甜品/糖水,461,
鳥居居酒屋 tori izakaya,銅鑼灣,$201-400,日本菜,爐端燒,339,
嵐山日本料理 Arashiyama Japanese Restaurant,尖沙咀,$201-400,日本菜,壽司/刺身,266,
Yadllie Plate,旺角,$101-200,韓國菜,韓式炸雞,354,
樂園 Happyland,尖沙咀,$101-200,西式,樓上cafe,406,
肚餓了串燒烤焗專門店 Hungry Bird,尖沙咀,$101-200,港式,海鮮,372,
M3 Italian,沙田,$101-200,意大利菜,海鮮,358,
Day and Nite by Master Kama,旺角,$101-200,日本菜,海鮮,322,
Plato,油麻地,$101-200,西式,咖啡店,334,
泰燒遙 Thai on 5 Seafood Grill and Bar,尖沙咀,$201-400,泰國菜,海鮮,310,
Running 燒 Running BBQ,旺角,$201-400,韓國菜,自助餐,296,
極尚大喜屋日本料理 Deluxe Daikiya Japanese Restaurant,尖沙咀,$201-400,日本菜,日式放題,258,
百樂小館 Chateh,尖沙咀,$201-400,潮州菜,酒樓,320,
新泰東南亞餐廳 Sun Thai Restaurant,灣仔,$101-200,越南菜,海鮮,284,
阿來泰式地道風味 Aroy Khao Man Gai,旺角,$51-100,泰國菜,泰國菜,268,
御膳 Imperial,觀塘,$201-400,粵菜 (廣東),海鮮,316,
Plato Cafe & Bistro,油麻地,$101-200,西式,甜品/糖水,287,
Cambo ??????,尖沙咀,$101-200,越南菜,泰國菜,328,
小甜谷 Dessert Kaffee Xiao Tian Gu Dessert Kaffee,銅鑼灣,$101-200,西式,甜品/糖水,363,
番本日式放題 Banmoto Japanese All You Can Eat Restaurant,旺角,$201-400,日本菜,日式放題,403,
Amico 1890,旺角,$101-200,西式,薄餅,270,
大本瀛日式放題 DaBen Ei Japanese Restaurant,旺角,$201-400,日本菜,日式放題,395,
心之食堂 Love Cafe,銅鑼灣,$201-400,日本菜,壽司/刺身,314,
Candies Foodies,尖沙咀,$101-200,西式,咖啡店,297,
串酒里 KEBABEER,尖沙咀,$101-200,日本菜,烤肉,277,
Manhattan Grill & Bar,觀塘,$201-400,美國菜,酒吧,290,
Burgeroom,尖沙咀,$51-100,美國菜,漢堡包,264,
韓舍 Korean House,旺角,$101-200,韓國菜,烤肉,304,
Vision 8,荃灣,$201-400,意大利菜,西式,267,
酒鍋 The Drunken Pot,尖沙咀,$201-400,粵菜 (廣東),火鍋,244,
S2 Kitchen,中環,$201-400,日本菜,壽司/刺身,334,
The Place,旺角,$401-800,多國菜,海鮮,208,
一起果醬 Let's Jam,尖沙咀,$101-200,西式,甜品/糖水,267,
EAT ME Bar & Restaurant,旺角,$101-200,多國菜,咖啡店,374,
OPPA韓國燒肉店 OPPA Korean Restaurant,旺角,$101-200,韓國菜,海鮮,221,
大滿喜日本料理 Daimanki Japanese Restaurant,旺角,$201-400,日本菜,日式放題,324,
凡高廚房 Van Gogh Kitchen,銅鑼灣,$201-400,意大利菜,西餐廳,373,
金船長餐廳 Golden Captain Restaurant,大角咀,$101-200,意大利菜,薄餅,490,
神戶屋日韓放題 Kobe Fusion Restaurant,旺角,$201-400,韓國菜,壽司/刺身,397,
